nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
ASEM,131118,3209072002,4,JAWA BARAT,32,CIREBON,3209,LEMAHABANG,320907
BELAWA,131128,3209072012,4,JAWA BARAT,32,CIREBON,3209,LEMAHABANG,320907
CIPEUJEUH KULON,131119,3209072003,4,JAWA BARAT,32,CIREBON,3209,LEMAHABANG,320907
CIPEUJEUH WETAN,131120,3209072004,4,JAWA BARAT,32,CIREBON,3209,LEMAHABANG,320907
LEMAHABANG,131123,3209072007,4,JAWA BARAT,32,CIREBON,3209,LEMAHABANG,320907
LEMAHABANG KULON,131122,3209072006,4,JAWA BARAT,32,CIREBON,3209,LEMAHABANG,320907
LEUWIDINGDING,131117,3209072001,4,JAWA BARAT,32,CIREBON,3209,LEMAHABANG,320907
PICUNGPUGUR,131126,3209072010,4,JAWA BARAT,32,CIREBON,3209,LEMAHABANG,320907
SARAJAYA,131125,3209072009,4,JAWA BARAT,32,CIREBON,3209,LEMAHABANG,320907
SIGONG,131124,3209072008,4,JAWA BARAT,32,CIREBON,3209,LEMAHABANG,320907
SINDANGLAUT,131121,3209072005,4,JAWA BARAT,32,CIREBON,3209,LEMAHABANG,320907
TUK KARANGSUWUNG,131127,3209072011,4,JAWA BARAT,32,CIREBON,3209,LEMAHABANG,320907
WANGKELANG,131129,3209072013,4,JAWA BARAT,32,CIREBON,3209,LEMAHABANG,320907
