nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
CIGINTUNG,131922,3211052004,4,JAWA BARAT,32,SUMEDANG,3211,CISITU,321105
CILOPANG,131926,3211052008,4,JAWA BARAT,32,SUMEDANG,3211,CISITU,321105
CIMARGA,131927,3211052009,4,JAWA BARAT,32,SUMEDANG,3211,CISITU,321105
CINANGSI,131928,3211052010,4,JAWA BARAT,32,SUMEDANG,3211,CISITU,321105
CISITU,131919,3211052001,4,JAWA BARAT,32,SUMEDANG,3211,CISITU,321105
LINGGAJAYA,131924,3211052006,4,JAWA BARAT,32,SUMEDANG,3211,CISITU,321105
PAJAGAN,131921,3211052003,4,JAWA BARAT,32,SUMEDANG,3211,CISITU,321105
RANJENG,131925,3211052007,4,JAWA BARAT,32,SUMEDANG,3211,CISITU,321105
SITUMEKAR,131920,3211052002,4,JAWA BARAT,32,SUMEDANG,3211,CISITU,321105
SUNDAMEKAR,131923,3211052005,4,JAWA BARAT,32,SUMEDANG,3211,CISITU,321105
