nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
BABAKAN JAWA,131611,3210071002,4,JAWA BARAT,32,MAJALENGKA,3210,MAJALENGKA,321007
CIBODAS,131623,3210072014,4,JAWA BARAT,32,MAJALENGKA,3210,MAJALENGKA,321007
CICURUG,131612,3210071003,4,JAWA BARAT,32,MAJALENGKA,3210,MAJALENGKA,321007
CIJATI,131619,3210071013,4,JAWA BARAT,32,MAJALENGKA,3210,MAJALENGKA,321007
CIKASARUNG,131617,3210071010,4,JAWA BARAT,32,MAJALENGKA,3210,MAJALENGKA,321007
KAWUNGGIRANG,131621,3210072006,4,JAWA BARAT,32,MAJALENGKA,3210,MAJALENGKA,321007
KULUR,131620,3210072005,4,JAWA BARAT,32,MAJALENGKA,3210,MAJALENGKA,321007
MAJALENGKA KULON,131615,3210071008,4,JAWA BARAT,32,MAJALENGKA,3210,MAJALENGKA,321007
MAJALENGKA WETAN,131614,3210071007,4,JAWA BARAT,32,MAJALENGKA,3210,MAJALENGKA,321007
MUNJUL,131610,3210071001,4,JAWA BARAT,32,MAJALENGKA,3210,MAJALENGKA,321007
SIDAMUKTI,131622,3210072012,4,JAWA BARAT,32,MAJALENGKA,3210,MAJALENGKA,321007
SINDANGKASIH,131613,3210071004,4,JAWA BARAT,32,MAJALENGKA,3210,MAJALENGKA,321007
TARIKOLOT,131616,3210071009,4,JAWA BARAT,32,MAJALENGKA,3210,MAJALENGKA,321007
TONJONG,131618,3210071011,4,JAWA BARAT,32,MAJALENGKA,3210,MAJALENGKA,321007
