nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
ARGALINGGA,131589,3210052014,4,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005
ARGAMUKTI,131580,3210052005,4,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005
CIBUNUT,131577,3210052002,4,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005
CIKARACAK,131585,3210052010,4,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005
GUNUNGWANGI,131588,3210052013,4,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005
HAURSEAH,131583,3210052008,4,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005
HEUBEULISUK,131586,3210052011,4,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005
MEKARWANGI,131584,3210052009,4,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005
SADASARI,131582,3210052007,4,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005
SAGARA,131576,3210052001,4,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005
SUKADANA,131581,3210052006,4,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005
SUKASARI KALER,131579,3210052004,4,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005
SUKASARI KIDUL,131587,3210052012,4,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005
TEJAMULYA,131578,3210052003,4,JAWA BARAT,32,MAJALENGKA,3210,ARGAPURA,321005
