nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
BONGKOK,131963,3211082005,4,JAWA BARAT,32,SUMEDANG,3211,PASEH,321108
CIJAMBE,131966,3211082008,4,JAWA BARAT,32,SUMEDANG,3211,PASEH,321108
CITEPOK,131968,3211082010,4,JAWA BARAT,32,SUMEDANG,3211,PASEH,321108
HAURKUNING,131967,3211082009,4,JAWA BARAT,32,SUMEDANG,3211,PASEH,321108
LEGOK KALER,131962,3211082004,4,JAWA BARAT,32,SUMEDANG,3211,PASEH,321108
LEGOK KIDUL,131961,3211082003,4,JAWA BARAT,32,SUMEDANG,3211,PASEH,321108
PADANAAN,131964,3211082006,4,JAWA BARAT,32,SUMEDANG,3211,PASEH,321108
PASEH KALER,131960,3211082002,4,JAWA BARAT,32,SUMEDANG,3211,PASEH,321108
PASEH KIDUL,131959,3211082001,4,JAWA BARAT,32,SUMEDANG,3211,PASEH,321108
PASIRENGIT,131965,3211082007,4,JAWA BARAT,32,SUMEDANG,3211,PASEH,321108
