nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
CEMARAJAYA,133137,3215112008,4,JAWA BARAT,32,KARAWANG,3215,CIBUAYA,321511
CIBUAYA,133131,3215112002,4,JAWA BARAT,32,KARAWANG,3215,CIBUAYA,321511
GEBANGJAYA,133140,3215112011,4,JAWA BARAT,32,KARAWANG,3215,CIBUAYA,321511
JAYAMULYA,133138,3215112009,4,JAWA BARAT,32,KARAWANG,3215,CIBUAYA,321511
KALIDUNGJAYA,133135,3215112006,4,JAWA BARAT,32,KARAWANG,3215,CIBUAYA,321511
KEDUNGJAYA,133139,3215112010,4,JAWA BARAT,32,KARAWANG,3215,CIBUAYA,321511
KEDUNGJERUK,133134,3215112005,4,JAWA BARAT,32,KARAWANG,3215,CIBUAYA,321511
KERTARAHAYU,133132,3215112003,4,JAWA BARAT,32,KARAWANG,3215,CIBUAYA,321511
PAJATEN,133130,3215112001,4,JAWA BARAT,32,KARAWANG,3215,CIBUAYA,321511
SEDARI,133136,3215112007,4,JAWA BARAT,32,KARAWANG,3215,CIBUAYA,321511
SUKASARI,133133,3215112004,4,JAWA BARAT,32,KARAWANG,3215,CIBUAYA,321511
