nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
BOJONGLARANG,129120,3203292003,4,JAWA BARAT,32,CIANJUR,3203,CIJATI,320329
CARINGIN,129125,3203292008,4,JAWA BARAT,32,CIANJUR,3203,CIJATI,320329
CIBODAS,129122,3203292005,4,JAWA BARAT,32,CIANJUR,3203,CIJATI,320329
CIJATI,129119,3203292002,4,JAWA BARAT,32,CIANJUR,3203,CIJATI,320329
PADAASIH,129121,3203292004,4,JAWA BARAT,32,CIANJUR,3203,CIJATI,320329
PARAKANTUGU,129118,3203292001,4,JAWA BARAT,32,CIANJUR,3203,CIJATI,320329
SINARBAKTI,129126,3203292009,4,JAWA BARAT,32,CIANJUR,3203,CIJATI,320329
SUKALUYU,129124,3203292007,4,JAWA BARAT,32,CIANJUR,3203,CIJATI,320329
SUKAMAHI,129123,3203292006,4,JAWA BARAT,32,CIANJUR,3203,CIJATI,320329
SUKAMAJU,129127,3203292010,4,JAWA BARAT,32,CIANJUR,3203,CIJATI,320329
