nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
CEMPAKA,131209,3209142008,4,JAWA BARAT,32,CIREBON,3209,TALUN,320914
CIPERNA,131203,3209142002,4,JAWA BARAT,32,CIREBON,3209,TALUN,320914
CIREBON GIRANG,131205,3209142004,4,JAWA BARAT,32,CIREBON,3209,TALUN,320914
KECOMBERAN,131204,3209142003,4,JAWA BARAT,32,CIREBON,3209,TALUN,320914
KEPONGPONGAN,131210,3209142009,4,JAWA BARAT,32,CIREBON,3209,TALUN,320914
KERANDON,131206,3209142005,4,JAWA BARAT,32,CIREBON,3209,TALUN,320914
KUBANG,131212,3209142011,4,JAWA BARAT,32,CIREBON,3209,TALUN,320914
SAMPIRAN,131202,3209142001,4,JAWA BARAT,32,CIREBON,3209,TALUN,320914
SARWADADI,131211,3209142010,4,JAWA BARAT,32,CIREBON,3209,TALUN,320914
WANASABA KIDUL,131207,3209142006,4,JAWA BARAT,32,CIREBON,3209,TALUN,320914
WANASABA LOR,131208,3209142007,4,JAWA BARAT,32,CIREBON,3209,TALUN,320914
