nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
BUNIASIH,131018,3208302016,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
CIKAHURIPAN,131014,3208302012,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
CIPAKEM,131005,3208302003,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
CIPORANG,131009,3208302007,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
DUKUHTENGAH,131010,3208302008,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
GALAHERANG,131004,3208302002,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
GARAHAJI,131003,3208302001,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
GIRIWARINGIN,131017,3208302015,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
KARANGTENGAH,131011,3208302009,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
KUTAMANDARAKAN,131015,3208302013,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
KUTARAJA,131008,3208302006,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
MALEBER,131006,3208302004,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
MANDALAJAYA,131016,3208302014,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
MEKARSARI,131012,3208302010,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
PADAMULYA,131013,3208302011,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
PARAKAN,131007,3208302005,4,JAWA BARAT,32,KUNINGAN,3208,MALEBER,320830
