nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
GIRIMUKTI,132084,3211182006,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG UTARA,321118
JATIHURIP,132089,3211182011,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG UTARA,321118
JATIMULYA,132090,3211182012,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG UTARA,321118
KEBONJATI,132088,3211182010,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG UTARA,321118
KOTA KALER,132079,3211181001,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG UTARA,321118
MARGAMUKTI,132086,3211182008,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG UTARA,321118
MEKARJAYA,132085,3211182007,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG UTARA,321118
MULYASARI,132083,3211182005,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG UTARA,321118
PADASUKA,132082,3211182004,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG UTARA,321118
RANCAMULYA,132091,3211182013,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG UTARA,321118
SIRNAMULYA,132087,3211182009,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG UTARA,321118
SITU,132080,3211181002,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG UTARA,321118
TALUN,132081,3211181003,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG UTARA,321118
