nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
BOLANG,133114,3215092010,4,JAWA BARAT,32,KARAWANG,3215,TIRTAJAYA,321509
GEMPOLKARYA,133107,3215092003,4,JAWA BARAT,32,KARAWANG,3215,TIRTAJAYA,321509
KUTAMAKMUR,133113,3215092009,4,JAWA BARAT,32,KARAWANG,3215,TIRTAJAYA,321509
MEDANKARYA,133108,3215092004,4,JAWA BARAT,32,KARAWANG,3215,TIRTAJAYA,321509
PISANGSAMBO,133106,3215092002,4,JAWA BARAT,32,KARAWANG,3215,TIRTAJAYA,321509
SABAJAYA,133105,3215092001,4,JAWA BARAT,32,KARAWANG,3215,TIRTAJAYA,321509
SRIJAYA,133112,3215092008,4,JAWA BARAT,32,KARAWANG,3215,TIRTAJAYA,321509
SRIKAMULYAN,133115,3215092011,4,JAWA BARAT,32,KARAWANG,3215,TIRTAJAYA,321509
SUMURLABAN,133111,3215092007,4,JAWA BARAT,32,KARAWANG,3215,TIRTAJAYA,321509
TAMBAKSARI,133110,3215092006,4,JAWA BARAT,32,KARAWANG,3215,TIRTAJAYA,321509
TAMBAKSUMUR,133109,3215092005,4,JAWA BARAT,32,KARAWANG,3215,TIRTAJAYA,321509
