nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
BARENGKOK,128019,3201142006,4,JAWA BARAT,32,BOGOR,3201,LEUWILIANG,320114
CIBEBER I,128022,3201142009,4,JAWA BARAT,32,BOGOR,3201,LEUWILIANG,320114
CIBEBER II,128023,3201142010,4,JAWA BARAT,32,BOGOR,3201,LEUWILIANG,320114
KARACAK,128018,3201142005,4,JAWA BARAT,32,BOGOR,3201,LEUWILIANG,320114
KAREHKEL,128024,3201142011,4,JAWA BARAT,32,BOGOR,3201,LEUWILIANG,320114
KARYASARI,128016,3201142003,4,JAWA BARAT,32,BOGOR,3201,LEUWILIANG,320114
LEUWILIANG,128014,3201142001,4,JAWA BARAT,32,BOGOR,3201,LEUWILIANG,320114
LEUWIMEKAR,128020,3201142007,4,JAWA BARAT,32,BOGOR,3201,LEUWILIANG,320114
PABANGBON,128017,3201142004,4,JAWA BARAT,32,BOGOR,3201,LEUWILIANG,320114
PURASARI,128015,3201142002,4,JAWA BARAT,32,BOGOR,3201,LEUWILIANG,320114
PURASEDA,128021,3201142008,4,JAWA BARAT,32,BOGOR,3201,LEUWILIANG,320114
