nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
CIKEUSAL,130953,3208242008,4,JAWA BARAT,32,KUNINGAN,3208,CIMAHI,320824
CILEUYA,130948,3208242003,4,JAWA BARAT,32,KUNINGAN,3208,CIMAHI,320824
CIMAHI,130951,3208242006,4,JAWA BARAT,32,KUNINGAN,3208,CIMAHI,320824
CIMULYA,130957,3208242012,4,JAWA BARAT,32,KUNINGAN,3208,CIMAHI,320824
GUNUNGSARI,130950,3208242005,4,JAWA BARAT,32,KUNINGAN,3208,CIMAHI,320824
KANANGA,130952,3208242007,4,JAWA BARAT,32,KUNINGAN,3208,CIMAHI,320824
MARGAMUKTI,130949,3208242004,4,JAWA BARAT,32,KUNINGAN,3208,CIMAHI,320824
MEKARJAYA,130954,3208242009,4,JAWA BARAT,32,KUNINGAN,3208,CIMAHI,320824
MULYAJAYA,130956,3208242011,4,JAWA BARAT,32,KUNINGAN,3208,CIMAHI,320824
SUKAJAYA,130955,3208242010,4,JAWA BARAT,32,KUNINGAN,3208,CIMAHI,320824
