nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
CIKAMPEK BARAT,133157,3215132008,4,JAWA BARAT,32,KARAWANG,3215,CIKAMPEK,321513
CIKAMPEK KOTA,133153,3215132003,4,JAWA BARAT,32,KARAWANG,3215,CIKAMPEK,321513
CIKAMPEK PUSAKA,133156,3215132007,4,JAWA BARAT,32,KARAWANG,3215,CIKAMPEK,321513
CIKAMPEK SELATAN,133155,3215132006,4,JAWA BARAT,32,KARAWANG,3215,CIKAMPEK,321513
CIKAMPEK TIMUR,133158,3215132009,4,JAWA BARAT,32,KARAWANG,3215,CIKAMPEK,321513
DAWUAN BARAT,133160,3215132011,4,JAWA BARAT,32,KARAWANG,3215,CIKAMPEK,321513
DAWUAN TENGAH,133154,3215132004,4,JAWA BARAT,32,KARAWANG,3215,CIKAMPEK,321513
DAWUAN TIMUR,133151,3215132001,4,JAWA BARAT,32,KARAWANG,3215,CIKAMPEK,321513
KALIHURIP,133152,3215132002,4,JAWA BARAT,32,KARAWANG,3215,CIKAMPEK,321513
KAMOJING,133159,3215132010,4,JAWA BARAT,32,KARAWANG,3215,CIKAMPEK,321513
