nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
ARGAPURA,128133,3201222006,4,JAWA BARAT,32,BOGOR,3201,CIGUDEG,320122
BANGUNJAYA,128134,3201222007,4,JAWA BARAT,32,BOGOR,3201,CIGUDEG,320122
BANYUASIH,128140,3201222013,4,JAWA BARAT,32,BOGOR,3201,CIGUDEG,320122
BANYURESMI,128131,3201222004,4,JAWA BARAT,32,BOGOR,3201,CIGUDEG,320122
BANYUWANGI,128139,3201222012,4,JAWA BARAT,32,BOGOR,3201,CIGUDEG,320122
BATUJAJAR,128136,3201222009,4,JAWA BARAT,32,BOGOR,3201,CIGUDEG,320122
BUNAR,128130,3201222003,4,JAWA BARAT,32,BOGOR,3201,CIGUDEG,320122
CIGUDEG,128129,3201222002,4,JAWA BARAT,32,BOGOR,3201,CIGUDEG,320122
CINTAMANIK,128132,3201222005,4,JAWA BARAT,32,BOGOR,3201,CIGUDEG,320122
MEKARJAYA,128141,3201222014,4,JAWA BARAT,32,BOGOR,3201,CIGUDEG,320122
RENGASJAJAR,128135,3201222008,4,JAWA BARAT,32,BOGOR,3201,CIGUDEG,320122
SUKAMAJU,128128,3201222001,4,JAWA BARAT,32,BOGOR,3201,CIGUDEG,320122
SUKARAKSA,128138,3201222011,4,JAWA BARAT,32,BOGOR,3201,CIGUDEG,320122
TEGALLEGA,128142,3201222015,4,JAWA BARAT,32,BOGOR,3201,CIGUDEG,320122
WARGAJAYA,128137,3201222010,4,JAWA BARAT,32,BOGOR,3201,CIGUDEG,320122
