nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
BURANGKENG,133521,3216182003,4,JAWA BARAT,32,BEKASI,3216,SETU,321618
CIBENING,133523,3216182005,4,JAWA BARAT,32,BEKASI,3216,SETU,321618
CIJENGKOL,133519,3216182001,4,JAWA BARAT,32,BEKASI,3216,SETU,321618
CIKARAGEMAN,133526,3216182008,4,JAWA BARAT,32,BEKASI,3216,SETU,321618
CILEDUG,133522,3216182004,4,JAWA BARAT,32,BEKASI,3216,SETU,321618
KERTARAHAYU,133529,3216182011,4,JAWA BARAT,32,BEKASI,3216,SETU,321618
LUBANGBUAYA,133520,3216182002,4,JAWA BARAT,32,BEKASI,3216,SETU,321618
MUKTIJAYA,133528,3216182010,4,JAWA BARAT,32,BEKASI,3216,SETU,321618
RAGEMANUNGGAL,133527,3216182009,4,JAWA BARAT,32,BEKASI,3216,SETU,321618
TAMAN RAHAYU,133525,3216182007,4,JAWA BARAT,32,BEKASI,3216,SETU,321618
TAMAN SARI,133524,3216182006,4,JAWA BARAT,32,BEKASI,3216,SETU,321618
