nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
BOJONGSLAWI,132391,3212182008,4,JAWA BARAT,32,INDRAMAYU,3212,LOHBENER,321218
KIAJARAN KULON,132385,3212182002,4,JAWA BARAT,32,INDRAMAYU,3212,LOHBENER,321218
KIAJARAN WETAN,132384,3212182001,4,JAWA BARAT,32,INDRAMAYU,3212,LOHBENER,321218
LANGUT,132387,3212182004,4,JAWA BARAT,32,INDRAMAYU,3212,LOHBENER,321218
LANJAN,132386,3212182003,4,JAWA BARAT,32,INDRAMAYU,3212,LOHBENER,321218
LARANGAN,132388,3212182005,4,JAWA BARAT,32,INDRAMAYU,3212,LOHBENER,321218
LEGOK,132390,3212182007,4,JAWA BARAT,32,INDRAMAYU,3212,LOHBENER,321218
LOHBENER,132392,3212182009,4,JAWA BARAT,32,INDRAMAYU,3212,LOHBENER,321218
PAMAYAHAN,132393,3212182010,4,JAWA BARAT,32,INDRAMAYU,3212,LOHBENER,321218
RAMBATAN KULON,132395,3212182012,4,JAWA BARAT,32,INDRAMAYU,3212,LOHBENER,321218
SINDANGKERTA,132394,3212182011,4,JAWA BARAT,32,INDRAMAYU,3212,LOHBENER,321218
WARU,132389,3212182006,4,JAWA BARAT,32,INDRAMAYU,3212,LOHBENER,321218
