nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
BABAKANSARI,128883,3203092009,4,JAWA BARAT,32,CIANJUR,3203,SUKALUYU,320309
HEGARMANAH,128884,3203092010,4,JAWA BARAT,32,CIANJUR,3203,SUKALUYU,320309
MEKARJAYA,128880,3203092006,4,JAWA BARAT,32,CIANJUR,3203,SUKALUYU,320309
PANYUSUHAN,128877,3203092003,4,JAWA BARAT,32,CIANJUR,3203,SUKALUYU,320309
SELAJAMBE,128875,3203092001,4,JAWA BARAT,32,CIANJUR,3203,SUKALUYU,320309
SINDANGRAJA,128879,3203092005,4,JAWA BARAT,32,CIANJUR,3203,SUKALUYU,320309
SUKALUYU,128882,3203092008,4,JAWA BARAT,32,CIANJUR,3203,SUKALUYU,320309
SUKAMULYA,128876,3203092002,4,JAWA BARAT,32,CIANJUR,3203,SUKALUYU,320309
SUKASIRNA,128881,3203092007,4,JAWA BARAT,32,CIANJUR,3203,SUKALUYU,320309
TANJUNGSARI,128878,3203092004,4,JAWA BARAT,32,CIANJUR,3203,SUKALUYU,320309
