nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
CIGAGADE,129918,3205382011,4,JAWA BARAT,32,GARUT,3205,BL. LIMBANGAN,320538
CIJOLANG,129912,3205382005,4,JAWA BARAT,32,GARUT,3205,BL. LIMBANGAN,320538
CIWANGI,129917,3205382010,4,JAWA BARAT,32,GARUT,3205,BL. LIMBANGAN,320538
DUNGUSWIRU,129920,3205382013,4,JAWA BARAT,32,GARUT,3205,BL. LIMBANGAN,320538
GALIHPAKUWON,129910,3205382003,4,JAWA BARAT,32,GARUT,3205,BL. LIMBANGAN,320538
LIMBANGAN BARAT,129909,3205382002,4,JAWA BARAT,32,GARUT,3205,BL. LIMBANGAN,320538
LIMBANGAN TENGAH,129908,3205382001,4,JAWA BARAT,32,GARUT,3205,BL. LIMBANGAN,320538
LIMBANGAN TIMUR,129919,3205382012,4,JAWA BARAT,32,GARUT,3205,BL. LIMBANGAN,320538
NEGLASARI,129913,3205382006,4,JAWA BARAT,32,GARUT,3205,BL. LIMBANGAN,320538
PANGEUREUNAN,129921,3205382014,4,JAWA BARAT,32,GARUT,3205,BL. LIMBANGAN,320538
PASIRWARU,129915,3205382008,4,JAWA BARAT,32,GARUT,3205,BL. LIMBANGAN,320538
SIMPEN KALER,129914,3205382007,4,JAWA BARAT,32,GARUT,3205,BL. LIMBANGAN,320538
SIMPEN KIDUL,129916,3205382009,4,JAWA BARAT,32,GARUT,3205,BL. LIMBANGAN,320538
SURABAYA,129911,3205382004,4,JAWA BARAT,32,GARUT,3205,BL. LIMBANGAN,320538
