nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
BABAKANCARINGIN,128853,3203072009,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
BOJONG,128846,3203072002,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
CIHERANG,128849,3203072005,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
HEGARMANAH,128858,3203072014,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
LANGENSARI,128857,3203072013,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
MALEBER,128848,3203072004,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
SABANDAR,128854,3203072010,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
SINDANGASIH,128855,3203072011,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
SINDANGLAKA,128847,3203072003,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
SUKAJADI,128859,3203072015,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
SUKAMANAH,128845,3203072001,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
SUKAMANTRI,128850,3203072006,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
SUKAMULYA,128860,3203072016,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
SUKASARANA,128851,3203072007,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
SUKASARI,128852,3203072008,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
SUKATARIS,128856,3203072012,4,JAWA BARAT,32,CIANJUR,3203,KARANGTENGAH,320307
