nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
BUNINAGARA,129467,3204462009,4,JAWA BARAT,32,BANDUNG,3204,KUTAWARINGIN,320446
CIBODAS,129463,3204462005,4,JAWA BARAT,32,BANDUNG,3204,KUTAWARINGIN,320446
CILAME,129469,3204462011,4,JAWA BARAT,32,BANDUNG,3204,KUTAWARINGIN,320446
GAJAH MEKAR,129468,3204462010,4,JAWA BARAT,32,BANDUNG,3204,KUTAWARINGIN,320446
JATISARI,129460,3204462002,4,JAWA BARAT,32,BANDUNG,3204,KUTAWARINGIN,320446
JELEGONG,129459,3204462001,4,JAWA BARAT,32,BANDUNG,3204,KUTAWARINGIN,320446
KOPO,129462,3204462004,4,JAWA BARAT,32,BANDUNG,3204,KUTAWARINGIN,320446
KUTAWARINGIN,129464,3204462006,4,JAWA BARAT,32,BANDUNG,3204,KUTAWARINGIN,320446
PADASUKA,129466,3204462008,4,JAWA BARAT,32,BANDUNG,3204,KUTAWARINGIN,320446
PAMEUNTASAN,129461,3204462003,4,JAWA BARAT,32,BANDUNG,3204,KUTAWARINGIN,320446
SUKAMULYA,129465,3204462007,4,JAWA BARAT,32,BANDUNG,3204,KUTAWARINGIN,320446
