nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
CEMARA KULON,132417,3212202013,4,JAWA BARAT,32,INDRAMAYU,3212,LOSARANG,321220
JANGGA,132411,3212202006,4,JAWA BARAT,32,INDRAMAYU,3212,LOSARANG,321220
JUMBLENG,132412,3212202007,4,JAWA BARAT,32,INDRAMAYU,3212,LOSARANG,321220
KRIMUN,132407,3212202002,4,JAWA BARAT,32,INDRAMAYU,3212,LOSARANG,321220
LOSARANG,132414,3212202010,4,JAWA BARAT,32,INDRAMAYU,3212,LOSARANG,321220
MUNTUR,132415,3212202011,4,JAWA BARAT,32,INDRAMAYU,3212,LOSARANG,321220
PANGKALAN,132413,3212202008,4,JAWA BARAT,32,INDRAMAYU,3212,LOSARANG,321220
PEGAGAN,132409,3212202004,4,JAWA BARAT,32,INDRAMAYU,3212,LOSARANG,321220
PUNTANG,132408,3212202003,4,JAWA BARAT,32,INDRAMAYU,3212,LOSARANG,321220
RAJAIYANG,132410,3212202005,4,JAWA BARAT,32,INDRAMAYU,3212,LOSARANG,321220
RANJENG,132406,3212202001,4,JAWA BARAT,32,INDRAMAYU,3212,LOSARANG,321220
SANTING,132416,3212202012,4,JAWA BARAT,32,INDRAMAYU,3212,LOSARANG,321220
