nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
CIANTING,132869,3214052007,4,JAWA BARAT,32,PURWAKARTA,3214,SUKATANI,321405
CIANTING UTARA,132868,3214052006,4,JAWA BARAT,32,PURWAKARTA,3214,SUKATANI,321405
CIBODAS,132872,3214052010,4,JAWA BARAT,32,PURWAKARTA,3214,SUKATANI,321405
CIJANTUNG,132873,3214052011,4,JAWA BARAT,32,PURWAKARTA,3214,SUKATANI,321405
CILALAWI,132865,3214052003,4,JAWA BARAT,32,PURWAKARTA,3214,SUKATANI,321405
CIPICUNG,132867,3214052005,4,JAWA BARAT,32,PURWAKARTA,3214,SUKATANI,321405
MALANGNENGAH,132864,3214052002,4,JAWA BARAT,32,PURWAKARTA,3214,SUKATANI,321405
PANYINDANGAN,132875,3214052013,4,JAWA BARAT,32,PURWAKARTA,3214,SUKATANI,321405
PASIRMUNJUL,132870,3214052008,4,JAWA BARAT,32,PURWAKARTA,3214,SUKATANI,321405
SINDANGLAYA,132876,3214052014,4,JAWA BARAT,32,PURWAKARTA,3214,SUKATANI,321405
SUKAJAYA,132874,3214052012,4,JAWA BARAT,32,PURWAKARTA,3214,SUKATANI,321405
SUKAMAJU,132866,3214052004,4,JAWA BARAT,32,PURWAKARTA,3214,SUKATANI,321405
SUKATANI,132863,3214052001,4,JAWA BARAT,32,PURWAKARTA,3214,SUKATANI,321405
TAJURSINDANG,132871,3214052009,4,JAWA BARAT,32,PURWAKARTA,3214,SUKATANI,321405
