nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
BAGINDA,132069,3211172006,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG SELATAN,321117
CIHERANG,132075,3211172012,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG SELATAN,321117
CIPAMEUNGPEUK,132067,3211171004,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG SELATAN,321117
CIPANCAR,132070,3211172007,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG SELATAN,321117
CITENGAH,132071,3211172008,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG SELATAN,321117
GUNASARI,132072,3211172009,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG SELATAN,321117
KOTA KULON,132065,3211171002,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG SELATAN,321117
MARGALAKSANA,132076,3211172013,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG SELATAN,321117
MARGAMEKAR,132074,3211172011,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG SELATAN,321117
MEKAR RAHAYU,132077,3211172014,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG SELATAN,321117
PASANGGRAHAN BARU,132064,3211171001,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG SELATAN,321117
REGOL WETAN,132066,3211171003,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG SELATAN,321117
SUKAGALIH,132068,3211172005,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG SELATAN,321117
SUKAJAYA,132073,3211172010,4,JAWA BARAT,32,SUMEDANG,3211,SUMEDANG SELATAN,321117
