nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
BABAKAN,128263,3201332007,4,JAWA BARAT,32,BOGOR,3201,CISEENG,320133
CIBENTANG,128260,3201332004,4,JAWA BARAT,32,BOGOR,3201,CISEENG,320133
CIBEUTEUNG MUARA,128265,3201332009,4,JAWA BARAT,32,BOGOR,3201,CISEENG,320133
CIBEUTEUNG UDIK,128261,3201332005,4,JAWA BARAT,32,BOGOR,3201,CISEENG,320133
CIHOE,128264,3201332008,4,JAWA BARAT,32,BOGOR,3201,CISEENG,320133
CISEENG,128258,3201332002,4,JAWA BARAT,32,BOGOR,3201,CISEENG,320133
KARIHKIL,128262,3201332006,4,JAWA BARAT,32,BOGOR,3201,CISEENG,320133
KURIPAN,128266,3201332010,4,JAWA BARAT,32,BOGOR,3201,CISEENG,320133
PARIGI MEKAR,128259,3201332003,4,JAWA BARAT,32,BOGOR,3201,CISEENG,320133
PUTAT NUTUG,128257,3201332001,4,JAWA BARAT,32,BOGOR,3201,CISEENG,320133
