nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
CIPAYUNG,133457,3216112002,4,JAWA BARAT,32,BEKASI,3216,CIKARANG TIMUR,321611
HEGARMANAH,133458,3216112003,4,JAWA BARAT,32,BEKASI,3216,CIKARANG TIMUR,321611
JATIBARU,133460,3216112005,4,JAWA BARAT,32,BEKASI,3216,CIKARANG TIMUR,321611
JATIREJA,133459,3216112004,4,JAWA BARAT,32,BEKASI,3216,CIKARANG TIMUR,321611
KARANGSARI,133462,3216112008,4,JAWA BARAT,32,BEKASI,3216,CIKARANG TIMUR,321611
LABANSARI,133461,3216112006,4,JAWA BARAT,32,BEKASI,3216,CIKARANG TIMUR,321611
SERTAJAYA,133455,3216111007,4,JAWA BARAT,32,BEKASI,3216,CIKARANG TIMUR,321611
TANJUNGBARU,133456,3216112001,4,JAWA BARAT,32,BEKASI,3216,CIKARANG TIMUR,321611
