nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan
CIGUNUNGHERANG,128922,3203122012,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
CIJAGANG,128914,3203122004,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
CINANGSI,128913,3203122003,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
CIRAMAGIRANG,128918,3203122008,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
GUDANG,128912,3203122002,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
KAMURANG,128916,3203122006,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
LEMBAHSARI,128925,3203122015,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
MAJALAYA,128915,3203122005,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
MEKARGALIH,128924,3203122014,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
MEKARJAYA,128919,3203122009,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
MEKARMULYA,128928,3203122018,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
MEKARSARI,128927,3203122017,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
MENTENGSARI,128926,3203122016,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
NEGLASARI,128923,3203122013,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
PADAJAYA,128921,3203122011,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
SUKAGALIH,128911,3203122001,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
SUKAMULYA,128920,3203122010,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
WARUDOYONG,128917,3203122007,4,JAWA BARAT,32,CIANJUR,3203,CIKALONGKULON,320312
