nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
BABAKAN MADANG,127912,320105,3,JAWA BARAT,32,BOGOR,3201
BOJONG GEDE,128003,320113,3,JAWA BARAT,32,BOGOR,3201
CARINGIN,128191,320127,3,JAWA BARAT,32,BOGOR,3201
CARIU,127950,320108,3,JAWA BARAT,32,BOGOR,3201
CIAMPEA,128025,320115,3,JAWA BARAT,32,BOGOR,3201
CIAWI,128153,320124,3,JAWA BARAT,32,BOGOR,3201
CIBINONG,127857,320101,3,JAWA BARAT,32,BOGOR,3201
CIBUNGBULANG,128039,320116,3,JAWA BARAT,32,BOGOR,3201
CIGOMBONG,128306,320138,3,JAWA BARAT,32,BOGOR,3201
CIGUDEG,128127,320122,3,JAWA BARAT,32,BOGOR,3201
CIJERUK,128204,320128,3,JAWA BARAT,32,BOGOR,3201
CILEUNGSI,127937,320107,3,JAWA BARAT,32,BOGOR,3201
CIOMAS,128214,320129,3,JAWA BARAT,32,BOGOR,3201
CISARUA,128167,320125,3,JAWA BARAT,32,BOGOR,3201
CISEENG,128256,320133,3,JAWA BARAT,32,BOGOR,3201
CITEUREUP,127882,320103,3,JAWA BARAT,32,BOGOR,3201
DRAMAGA,128226,320130,3,JAWA BARAT,32,BOGOR,3201
GUNUNG PUTRI,127871,320102,3,JAWA BARAT,32,BOGOR,3201
GUNUNG SINDUR,127982,320111,3,JAWA BARAT,32,BOGOR,3201
JASINGA,128086,320119,3,JAWA BARAT,32,BOGOR,3201
JONGGOL,127922,320106,3,JAWA BARAT,32,BOGOR,3201
KEMANG,127993,320112,3,JAWA BARAT,32,BOGOR,3201
KLAPANUNGGAL,128246,320132,3,JAWA BARAT,32,BOGOR,3201
LEUWILIANG,128013,320114,3,JAWA BARAT,32,BOGOR,3201
LEUWISADENG,128316,320139,3,JAWA BARAT,32,BOGOR,3201
MEGAMENDUNG,128178,320126,3,JAWA BARAT,32,BOGOR,3201
NANGGUNG,128115,320121,3,JAWA BARAT,32,BOGOR,3201
PAMIJAHAN,128055,320117,3,JAWA BARAT,32,BOGOR,3201
PARUNG,127972,320110,3,JAWA BARAT,32,BOGOR,3201
PARUNG PANJANG,128103,320120,3,JAWA BARAT,32,BOGOR,3201
RANCA BUNGUR,128267,320134,3,JAWA BARAT,32,BOGOR,3201
RUMPIN,128071,320118,3,JAWA BARAT,32,BOGOR,3201
SUKAJAYA,128275,320135,3,JAWA BARAT,32,BOGOR,3201
SUKAMAKMUR,127961,320109,3,JAWA BARAT,32,BOGOR,3201
SUKARAJA,127898,320104,3,JAWA BARAT,32,BOGOR,3201
TAJURHALANG,128298,320137,3,JAWA BARAT,32,BOGOR,3201
TAMANSARI,128237,320131,3,JAWA BARAT,32,BOGOR,3201
TANJUNGSARI,128287,320136,3,JAWA BARAT,32,BOGOR,3201
TENJO,128143,320123,3,JAWA BARAT,32,BOGOR,3201
TENJOLAYA,128325,320140,3,JAWA BARAT,32,BOGOR,3201
