nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
BEJI,134275,327606,3,JAWA BARAT,32,KOTA DEPOK,3276
BOJONGSARI,134307,327611,3,JAWA BARAT,32,KOTA DEPOK,3276
CILODONG,134288,327608,3,JAWA BARAT,32,KOTA DEPOK,3276
CIMANGGIS,134248,327602,3,JAWA BARAT,32,KOTA DEPOK,3276
CINERE,134294,327609,3,JAWA BARAT,32,KOTA DEPOK,3276
CIPAYUNG,134282,327607,3,JAWA BARAT,32,KOTA DEPOK,3276
LIMO,134263,327604,3,JAWA BARAT,32,KOTA DEPOK,3276
PANCORAN MAS,132380,327601,3,JAWA BARAT,32,KOTA DEPOK,3276
SAWANGAN,134255,327603,3,JAWA BARAT,32,KOTA DEPOK,3276
SUKMAJAYA,134268,327605,3,JAWA BARAT,32,KOTA DEPOK,3276
TAPOS,134299,327610,3,JAWA BARAT,32,KOTA DEPOK,3276
