nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
ARJAWINANGUN,131326,320924,3,JAWA BARAT,32,CIREBON,3209
ASTANAJAPURA,131155,320910,3,JAWA BARAT,32,CIREBON,3209
BABAKAN,131092,320905,3,JAWA BARAT,32,CIREBON,3209
BEBER,131190,320913,3,JAWA BARAT,32,CIREBON,3209
CILEDUG,131056,320902,3,JAWA BARAT,32,CIREBON,3209
CIWARINGIN,131348,320926,3,JAWA BARAT,32,CIREBON,3209
DEPOK,131409,320931,3,JAWA BARAT,32,CIREBON,3209
DUKUPUNTANG,131228,320916,3,JAWA BARAT,32,CIREBON,3209
GEBANG,131395,320930,3,JAWA BARAT,32,CIREBON,3209
GEGESIK,131370,320928,3,JAWA BARAT,32,CIREBON,3209
GEMPOL,131468,320937,3,JAWA BARAT,32,CIREBON,3209
GREGED,131477,320938,3,JAWA BARAT,32,CIREBON,3209
GUNUNG JATI,131290,320921,3,JAWA BARAT,32,CIREBON,3209
JAMBLANG,131498,320940,3,JAWA BARAT,32,CIREBON,3209
KALIWEDI,131385,320929,3,JAWA BARAT,32,CIREBON,3209
KAPETAKAN,131306,320922,3,JAWA BARAT,32,CIREBON,3209
KARANGSEMBUNG,131107,320906,3,JAWA BARAT,32,CIREBON,3209
KARANGWARENG,131438,320934,3,JAWA BARAT,32,CIREBON,3209
KEDAWUNG,131281,320920,3,JAWA BARAT,32,CIREBON,3209
KLANGENAN,131316,320923,3,JAWA BARAT,32,CIREBON,3209
LEMAHABANG,131116,320907,3,JAWA BARAT,32,CIREBON,3209
LOSARI,131067,320903,3,JAWA BARAT,32,CIREBON,3209
MUNDU,131177,320912,3,JAWA BARAT,32,CIREBON,3209
PABEDILAN,131078,320904,3,JAWA BARAT,32,CIREBON,3209
PABUARAN,131430,320933,3,JAWA BARAT,32,CIREBON,3209
PALIMANAN,131242,320917,3,JAWA BARAT,32,CIREBON,3209
PANGENAN,131167,320911,3,JAWA BARAT,32,CIREBON,3209
PANGURAGAN,131338,320925,3,JAWA BARAT,32,CIREBON,3209
PASALEMAN,131422,320932,3,JAWA BARAT,32,CIREBON,3209
PLERED,131457,320936,3,JAWA BARAT,32,CIREBON,3209
PLUMBON,131255,320918,3,JAWA BARAT,32,CIREBON,3209
SEDONG,131144,320909,3,JAWA BARAT,32,CIREBON,3209
SUMBER,131213,320915,3,JAWA BARAT,32,CIREBON,3209
SURANENGGALA,131488,320939,3,JAWA BARAT,32,CIREBON,3209
SUSUKAN,131357,320927,3,JAWA BARAT,32,CIREBON,3209
SUSUKAN LEBAK,131130,320908,3,JAWA BARAT,32,CIREBON,3209
TALUN,131201,320914,3,JAWA BARAT,32,CIREBON,3209
TENGAH TANI,131448,320935,3,JAWA BARAT,32,CIREBON,3209
WALED,131043,320901,3,JAWA BARAT,32,CIREBON,3209
WERU,131271,320919,3,JAWA BARAT,32,CIREBON,3209
