nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
BUNGURSARI,134397,327809,3,JAWA BARAT,32,KOTA TASIKMALAYA,3278
CIBEUREUM,134369,327806,3,JAWA BARAT,32,KOTA TASIKMALAYA,3278
CIHIDEUNG,134333,327801,3,JAWA BARAT,32,KOTA TASIKMALAYA,3278
CIPEDES,134340,327802,3,JAWA BARAT,32,KOTA TASIKMALAYA,3278
INDIHIANG,134351,327804,3,JAWA BARAT,32,KOTA TASIKMALAYA,3278
KAWALU,134358,327805,3,JAWA BARAT,32,KOTA TASIKMALAYA,3278
MANGKUBUMI,134388,327808,3,JAWA BARAT,32,KOTA TASIKMALAYA,3278
PURBARATU,134405,327810,3,JAWA BARAT,32,KOTA TASIKMALAYA,3278
TAMANSARI,134379,327807,3,JAWA BARAT,32,KOTA TASIKMALAYA,3278
TAWANG,134345,327803,3,JAWA BARAT,32,KOTA TASIKMALAYA,3278
