nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
CIAWIGEBANG,130756,320810,3,JAWA BARAT,32,KUNINGAN,3208
CIBEUREUM,130983,320828,3,JAWA BARAT,32,KUNINGAN,3208
CIBINGBIN,130679,320805,3,JAWA BARAT,32,KUNINGAN,3208
CIDAHU,130781,320811,3,JAWA BARAT,32,KUNINGAN,3208
CIGANDAMEKAR,131031,320832,3,JAWA BARAT,32,KUNINGAN,3208
CIGUGUR,130880,320818,3,JAWA BARAT,32,KUNINGAN,3208
CILEBAK,130958,320825,3,JAWA BARAT,32,KUNINGAN,3208
CILIMUS,130810,320813,3,JAWA BARAT,32,KUNINGAN,3208
CIMAHI,130947,320824,3,JAWA BARAT,32,KUNINGAN,3208
CINIRU,130648,320802,3,JAWA BARAT,32,KUNINGAN,3208
CIPICUNG,130911,320821,3,JAWA BARAT,32,KUNINGAN,3208
CIWARU,130666,320804,3,JAWA BARAT,32,KUNINGAN,3208
DARMA,130860,320817,3,JAWA BARAT,32,KUNINGAN,3208
GARAWANGI,130721,320808,3,JAWA BARAT,32,KUNINGAN,3208
HANTARA,130967,320826,3,JAWA BARAT,32,KUNINGAN,3208
JALAKSANA,130794,320812,3,JAWA BARAT,32,KUNINGAN,3208
JAPARA,130936,320823,3,JAWA BARAT,32,KUNINGAN,3208
KADUGEDE,130635,320801,3,JAWA BARAT,32,KUNINGAN,3208
KALIMANGGIS,130976,320827,3,JAWA BARAT,32,KUNINGAN,3208
KARANG KANCANA,130992,320829,3,JAWA BARAT,32,KUNINGAN,3208
KRAMATMULYA,130845,320816,3,JAWA BARAT,32,KUNINGAN,3208
KUNINGAN,130739,320809,3,JAWA BARAT,32,KUNINGAN,3208
LEBAKWANGI,130707,320807,3,JAWA BARAT,32,KUNINGAN,3208
LURAGUNG,130690,320806,3,JAWA BARAT,32,KUNINGAN,3208
MALEBER,131002,320830,3,JAWA BARAT,32,KUNINGAN,3208
MANDIRANCAN,130824,320814,3,JAWA BARAT,32,KUNINGAN,3208
NUSAHERANG,130902,320820,3,JAWA BARAT,32,KUNINGAN,3208
PANCALANG,130922,320822,3,JAWA BARAT,32,KUNINGAN,3208
PASAWAHAN,130891,320819,3,JAWA BARAT,32,KUNINGAN,3208
SELAJAMBE,130837,320815,3,JAWA BARAT,32,KUNINGAN,3208
SINDANGAGUNG,126831,320831,3,JAWA BARAT,32,KUNINGAN,3208
SUBANG,130658,320803,3,JAWA BARAT,32,KUNINGAN,3208
