nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
BANTARKALONG,130036,320608,3,JAWA BARAT,32,TASIKMALAYA,3206
BOJONGASIH,130045,320609,3,JAWA BARAT,32,TASIKMALAYA,3206
BOJONGGAMBIR,130058,320611,3,JAWA BARAT,32,TASIKMALAYA,3206
CIAWI,130304,320636,3,JAWA BARAT,32,TASIKMALAYA,3206
CIBALONG,130020,320606,3,JAWA BARAT,32,TASIKMALAYA,3206
CIGALONTANG,130215,320627,3,JAWA BARAT,32,TASIKMALAYA,3206
CIKALONG,129984,320603,3,JAWA BARAT,32,TASIKMALAYA,3206
CIKATOMAS,130010,320605,3,JAWA BARAT,32,TASIKMALAYA,3206
CINEAM,130153,320620,3,JAWA BARAT,32,TASIKMALAYA,3206
CIPATUJAH,129953,320601,3,JAWA BARAT,32,TASIKMALAYA,3206
CISAYONG,130264,320632,3,JAWA BARAT,32,TASIKMALAYA,3206
CULAMEGA,130052,320610,3,JAWA BARAT,32,TASIKMALAYA,3206
GUNUNGTANJUNG,130182,320623,3,JAWA BARAT,32,TASIKMALAYA,3206
JAMANIS,130295,320635,3,JAWA BARAT,32,TASIKMALAYA,3206
JATIWARAS,130141,320619,3,JAWA BARAT,32,TASIKMALAYA,3206
KADIPATEN,130316,320637,3,JAWA BARAT,32,TASIKMALAYA,3206
KARANGJAYA,130164,320621,3,JAWA BARAT,32,TASIKMALAYA,3206
KARANGNUNGGAL,129969,320602,3,JAWA BARAT,32,TASIKMALAYA,3206
LEUWISARI,130232,320628,3,JAWA BARAT,32,TASIKMALAYA,3206
MANGUNREJA,130201,320625,3,JAWA BARAT,32,TASIKMALAYA,3206
MANONJAYA,130169,320622,3,JAWA BARAT,32,TASIKMALAYA,3206
PADAKEMBANG,130240,320629,3,JAWA BARAT,32,TASIKMALAYA,3206
PAGERAGEUNG,130323,320638,3,JAWA BARAT,32,TASIKMALAYA,3206
PANCATENGAH,129998,320604,3,JAWA BARAT,32,TASIKMALAYA,3206
PARUNGPONTENG,130027,320607,3,JAWA BARAT,32,TASIKMALAYA,3206
PUSPAHIANG,130105,320615,3,JAWA BARAT,32,TASIKMALAYA,3206
RAJAPOLAH,130286,320634,3,JAWA BARAT,32,TASIKMALAYA,3206
SALAWU,130092,320614,3,JAWA BARAT,32,TASIKMALAYA,3206
SALOPA,130131,320618,3,JAWA BARAT,32,TASIKMALAYA,3206
SARIWANGI,130246,320630,3,JAWA BARAT,32,TASIKMALAYA,3206
SINGAPARNA,130190,320624,3,JAWA BARAT,32,TASIKMALAYA,3206
SODONGHILIR,130069,320612,3,JAWA BARAT,32,TASIKMALAYA,3206
SUKAHENING,130278,320633,3,JAWA BARAT,32,TASIKMALAYA,3206
SUKARAJA,130122,320617,3,JAWA BARAT,32,TASIKMALAYA,3206
SUKARAME,130208,320626,3,JAWA BARAT,32,TASIKMALAYA,3206
SUKARATU,130255,320631,3,JAWA BARAT,32,TASIKMALAYA,3206
SUKARESIK,130334,320639,3,JAWA BARAT,32,TASIKMALAYA,3206
TANJUNGJAYA,130114,320616,3,JAWA BARAT,32,TASIKMALAYA,3206
TARAJU,130082,320613,3,JAWA BARAT,32,TASIKMALAYA,3206
