nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
CIGUGUR,133780,321804,3,JAWA BARAT,32,PANGANDARAN,3218
CIJULANG,133760,321802,3,JAWA BARAT,32,PANGANDARAN,3218
CIMERAK,133768,321803,3,JAWA BARAT,32,PANGANDARAN,3218
KALIPUCANG,133826,321808,3,JAWA BARAT,32,PANGANDARAN,3218
LANGKAPLANCAR,133788,321805,3,JAWA BARAT,32,PANGANDARAN,3218
MANGUNJAYA,133805,321806,3,JAWA BARAT,32,PANGANDARAN,3218
PADAHERANG,133811,321807,3,JAWA BARAT,32,PANGANDARAN,3218
PANGANDARAN,133836,321809,3,JAWA BARAT,32,PANGANDARAN,3218
PARIGI,133749,321801,3,JAWA BARAT,32,PANGANDARAN,3218
SIDAMULIH,133845,321810,3,JAWA BARAT,32,PANGANDARAN,3218
