nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
BANTARGEBANG,134208,327507,3,JAWA BARAT,32,KOTA BEKASI,3275
BEKASI BARAT,134180,327502,3,JAWA BARAT,32,KOTA BEKASI,3275
BEKASI SELATAN,134192,327504,3,JAWA BARAT,32,KOTA BEKASI,3275
BEKASI TIMUR,134175,327501,3,JAWA BARAT,32,KOTA BEKASI,3275
BEKASI UTARA,130961,327503,3,JAWA BARAT,32,KOTA BEKASI,3275
JATIASIH,134219,327509,3,JAWA BARAT,32,KOTA BEKASI,3275
JATISAMPURNA,134226,327510,3,JAWA BARAT,32,KOTA BEKASI,3275
MEDANSATRIA,134203,327506,3,JAWA BARAT,32,KOTA BEKASI,3275
MUSTIKAJAYA,134232,327511,3,JAWA BARAT,32,KOTA BEKASI,3275
PONDOKGEDE,134213,327508,3,JAWA BARAT,32,KOTA BEKASI,3275
PONDOKMELATI,134237,327512,3,JAWA BARAT,32,KOTA BEKASI,3275
RAWALUMBU,134198,327505,3,JAWA BARAT,32,KOTA BEKASI,3275
