nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
ARGAPURA,131575,321005,3,JAWA BARAT,32,MAJALENGKA,3210
BANJARAN,131817,321022,3,JAWA BARAT,32,MAJALENGKA,3210
BANTARUJEG,131527,321002,3,JAWA BARAT,32,MAJALENGKA,3210
CIGASONG,131795,321020,3,JAWA BARAT,32,MAJALENGKA,3210
CIKIJING,131541,321003,3,JAWA BARAT,32,MAJALENGKA,3210
CINGAMBUL,131831,321023,3,JAWA BARAT,32,MAJALENGKA,3210
DAWUAN,131684,321012,3,JAWA BARAT,32,MAJALENGKA,3210
JATITUJUH,131719,321015,3,JAWA BARAT,32,MAJALENGKA,3210
JATIWANGI,131667,321011,3,JAWA BARAT,32,MAJALENGKA,3210
KADIPATEN,131696,321013,3,JAWA BARAT,32,MAJALENGKA,3210
KASOKANDEL,131845,321024,3,JAWA BARAT,32,MAJALENGKA,3210
KERTAJATI,131704,321014,3,JAWA BARAT,32,MAJALENGKA,3210
LEMAHSUGIH,131507,321001,3,JAWA BARAT,32,MAJALENGKA,3210
LEUWIMUNDING,131652,321010,3,JAWA BARAT,32,MAJALENGKA,3210
LIGUNG,131735,321016,3,JAWA BARAT,32,MAJALENGKA,3210
MAJA,131590,321006,3,JAWA BARAT,32,MAJALENGKA,3210
MAJALENGKA,131609,321007,3,JAWA BARAT,32,MAJALENGKA,3210
MALAUSMA,131864,321026,3,JAWA BARAT,32,MAJALENGKA,3210
PALASAH,131781,321019,3,JAWA BARAT,32,MAJALENGKA,3210
PANYINGKIRAN,131771,321018,3,JAWA BARAT,32,MAJALENGKA,3210
RAJAGALUH,131638,321009,3,JAWA BARAT,32,MAJALENGKA,3210
SINDANG,131856,321025,3,JAWA BARAT,32,MAJALENGKA,3210
SINDANGWANGI,131806,321021,3,JAWA BARAT,32,MAJALENGKA,3210
SUKAHAJI,131624,321008,3,JAWA BARAT,32,MAJALENGKA,3210
SUMBERJAYA,131755,321017,3,JAWA BARAT,32,MAJALENGKA,3210
TALAGA,131557,321004,3,JAWA BARAT,32,MAJALENGKA,3210
