nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
BANJARANYAR,130624,320737,3,JAWA BARAT,32,CIAMIS,3207
BANJARSARI,130533,320718,3,JAWA BARAT,32,CIAMIS,3207
BAREGBEG,130589,320732,3,JAWA BARAT,32,CIAMIS,3207
CIAMIS,130343,320701,3,JAWA BARAT,32,CIAMIS,3207
CIDOLOG,130387,320705,3,JAWA BARAT,32,CIAMIS,3207
CIHAURBEUTI,130394,320706,3,JAWA BARAT,32,CIAMIS,3207
CIJEUNGJING,130366,320703,3,JAWA BARAT,32,CIAMIS,3207
CIKONENG,130356,320702,3,JAWA BARAT,32,CIAMIS,3207
CIMARAGAS,130561,320729,3,JAWA BARAT,32,CIAMIS,3207
CIPAKU,130461,320711,3,JAWA BARAT,32,CIAMIS,3207
CISAGA,130567,320730,3,JAWA BARAT,32,CIAMIS,3207
JATINAGARA,130475,320712,3,JAWA BARAT,32,CIAMIS,3207
KAWALI,130430,320709,3,JAWA BARAT,32,CIAMIS,3207
LAKBOK,130522,320717,3,JAWA BARAT,32,CIAMIS,3207
LUMBUNG,130605,320734,3,JAWA BARAT,32,CIAMIS,3207
PAMARICAN,130546,320719,3,JAWA BARAT,32,CIAMIS,3207
PANAWANGAN,130442,320710,3,JAWA BARAT,32,CIAMIS,3207
PANJALU,130421,320708,3,JAWA BARAT,32,CIAMIS,3207
PANUMBANGAN,130406,320707,3,JAWA BARAT,32,CIAMIS,3207
PURWADADI,130614,320735,3,JAWA BARAT,32,CIAMIS,3207
RAJADESA,130482,320713,3,JAWA BARAT,32,CIAMIS,3207
RANCAH,130501,320715,3,JAWA BARAT,32,CIAMIS,3207
SADANANYA,130378,320704,3,JAWA BARAT,32,CIAMIS,3207
SINDANGKASIH,130579,320731,3,JAWA BARAT,32,CIAMIS,3207
SUKADANA,130494,320714,3,JAWA BARAT,32,CIAMIS,3207
SUKAMANTRI,130599,320733,3,JAWA BARAT,32,CIAMIS,3207
TAMBAKSARI,130515,320716,3,JAWA BARAT,32,CIAMIS,3207
