nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
BATUJAJAR,133666,321709,3,JAWA BARAT,32,BANDUNG BARAT,3217
CIHAMPELAS,133674,321710,3,JAWA BARAT,32,BANDUNG BARAT,3217
CIKALONGWETAN,133603,321704,3,JAWA BARAT,32,BANDUNG BARAT,3217
CILILIN,133685,321711,3,JAWA BARAT,32,BANDUNG BARAT,3217
CIPATAT,133642,321707,3,JAWA BARAT,32,BANDUNG BARAT,3217
CIPEUNDEUY,133617,321705,3,JAWA BARAT,32,BANDUNG BARAT,3217
CIPONGKOR,133697,321712,3,JAWA BARAT,32,BANDUNG BARAT,3217
CISARUA,133594,321703,3,JAWA BARAT,32,BANDUNG BARAT,3217
GUNUNGHALU,133733,321715,3,JAWA BARAT,32,BANDUNG BARAT,3217
LEMBANG,133569,321701,3,JAWA BARAT,32,BANDUNG BARAT,3217
NGAMPRAH,133630,321706,3,JAWA BARAT,32,BANDUNG BARAT,3217
PADALARANG,133655,321708,3,JAWA BARAT,32,BANDUNG BARAT,3217
PARONGPONG,133586,321702,3,JAWA BARAT,32,BANDUNG BARAT,3217
RONGGA,133712,321713,3,JAWA BARAT,32,BANDUNG BARAT,3217
SAGULING,129538,321716,3,JAWA BARAT,32,BANDUNG BARAT,3217
SINDANGKERTA,133721,321714,3,JAWA BARAT,32,BANDUNG BARAT,3217
