nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
ARJASARI,129252,320416,3,JAWA BARAT,32,BANDUNG,3204
BALEENDAH,129360,320432,3,JAWA BARAT,32,BANDUNG,3204
BANJARAN,129219,320413,3,JAWA BARAT,32,BANDUNG,3204
BOJONGSOANG,129184,320408,3,JAWA BARAT,32,BANDUNG,3204
CANGKUANG,129450,320444,3,JAWA BARAT,32,BANDUNG,3204
CICALENGKA,129275,320425,3,JAWA BARAT,32,BANDUNG,3204
CIKANCUNG,129297,320427,3,JAWA BARAT,32,BANDUNG,3204
CILENGKRANG,129177,320407,3,JAWA BARAT,32,BANDUNG,3204
CILEUNYI,129160,320405,3,JAWA BARAT,32,BANDUNG,3204
CIMAUNG,129264,320417,3,JAWA BARAT,32,BANDUNG,3204
CIMENYAN,129167,320406,3,JAWA BARAT,32,BANDUNG,3204
CIPARAY,129322,320429,3,JAWA BARAT,32,BANDUNG,3204
CIWIDEY,129436,320439,3,JAWA BARAT,32,BANDUNG,3204
DAYEUHKOLOT,129212,320412,3,JAWA BARAT,32,BANDUNG,3204
IBUN,129401,320436,3,JAWA BARAT,32,BANDUNG,3204
KATAPANG,129204,320411,3,JAWA BARAT,32,BANDUNG,3204
KERTASARI,129351,320431,3,JAWA BARAT,32,BANDUNG,3204
KUTAWARINGIN,129458,320446,3,JAWA BARAT,32,BANDUNG,3204
MAJALAYA,125998,320433,3,JAWA BARAT,32,BANDUNG,3204
MARGAASIH,129197,320410,3,JAWA BARAT,32,BANDUNG,3204
MARGAHAYU,129191,320409,3,JAWA BARAT,32,BANDUNG,3204
NAGREG,129288,320426,3,JAWA BARAT,32,BANDUNG,3204
PACET,129337,320430,3,JAWA BARAT,32,BANDUNG,3204
PAMEUNGPEUK,129231,320414,3,JAWA BARAT,32,BANDUNG,3204
PANGALENGAN,129238,320415,3,JAWA BARAT,32,BANDUNG,3204
PASEH,129388,320435,3,JAWA BARAT,32,BANDUNG,3204
PASIRJAMBU,129425,320438,3,JAWA BARAT,32,BANDUNG,3204
RANCABALI,129444,320440,3,JAWA BARAT,32,BANDUNG,3204
RANCAEKEK,129307,320428,3,JAWA BARAT,32,BANDUNG,3204
SOLOKANJERUK,129380,320434,3,JAWA BARAT,32,BANDUNG,3204
SOREANG,129414,320437,3,JAWA BARAT,32,BANDUNG,3204
