nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
ANDIR,133992,327305,3,JAWA BARAT,32,KOTA BANDUNG,3273
ANTAPANI,134092,327320,3,JAWA BARAT,32,KOTA BANDUNG,3273
ARCAMANIK,134112,327324,3,JAWA BARAT,32,KOTA BANDUNG,3273
ASTANA ANYAR,134020,327310,3,JAWA BARAT,32,KOTA BANDUNG,3273
BABAKAN CIPARAY,133979,327303,3,JAWA BARAT,32,KOTA BANDUNG,3273
BANDUNG KIDUL,134097,327321,3,JAWA BARAT,32,KOTA BANDUNG,3273
BANDUNG KULON,134059,327315,3,JAWA BARAT,32,KOTA BANDUNG,3273
BANDUNG WETAN,134016,327309,3,JAWA BARAT,32,KOTA BANDUNG,3273
BATUNUNGGAL,134035,327312,3,JAWA BARAT,32,KOTA BANDUNG,3273
BOJONGLOA KALER,133986,327304,3,JAWA BARAT,32,KOTA BANDUNG,3273
BOJONGLOA KIDUL,134075,327317,3,JAWA BARAT,32,KOTA BANDUNG,3273
BUAHBATU,134102,327322,3,JAWA BARAT,32,KOTA BANDUNG,3273
CIBEUNYING KALER,134082,327318,3,JAWA BARAT,32,KOTA BANDUNG,3273
CIBEUNYING KIDUL,134052,327314,3,JAWA BARAT,32,KOTA BANDUNG,3273
CIBIRU,134117,327325,3,JAWA BARAT,32,KOTA BANDUNG,3273
CICENDO,133999,327306,3,JAWA BARAT,32,KOTA BANDUNG,3273
CIDADAP,134012,327308,3,JAWA BARAT,32,KOTA BANDUNG,3273
CINAMBO,134138,327329,3,JAWA BARAT,32,KOTA BANDUNG,3273
COBLONG,133972,327302,3,JAWA BARAT,32,KOTA BANDUNG,3273
GEDEBAGE,134128,327327,3,JAWA BARAT,32,KOTA BANDUNG,3273
KIARACONDONG,134068,327316,3,JAWA BARAT,32,KOTA BANDUNG,3273
LENGKONG,134044,327313,3,JAWA BARAT,32,KOTA BANDUNG,3273
MANDALAJATI,134143,327330,3,JAWA BARAT,32,KOTA BANDUNG,3273
PANYILEUKAN,134133,327328,3,JAWA BARAT,32,KOTA BANDUNG,3273
RANCASARI,134107,327323,3,JAWA BARAT,32,KOTA BANDUNG,3273
REGOL,134027,327311,3,JAWA BARAT,32,KOTA BANDUNG,3273
SUKAJADI,134006,327307,3,JAWA BARAT,32,KOTA BANDUNG,3273
SUKASARI,133967,327301,3,JAWA BARAT,32,KOTA BANDUNG,3273
SUMUR BANDUNG,134087,327319,3,JAWA BARAT,32,KOTA BANDUNG,3273
UJUNGBERUNG,134122,327326,3,JAWA BARAT,32,KOTA BANDUNG,3273
