nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
BABAKANCIKAO,132959,321412,3,JAWA BARAT,32,PURWAKARTA,3214
BOJONG,132944,321411,3,JAWA BARAT,32,PURWAKARTA,3214
BUNGURSARI,132969,321413,3,JAWA BARAT,32,PURWAKARTA,3214
CAMPAKA,132823,321402,3,JAWA BARAT,32,PURWAKARTA,3214
CIBATU,132980,321414,3,JAWA BARAT,32,PURWAKARTA,3214
DARANGDAN,132877,321406,3,JAWA BARAT,32,PURWAKARTA,3214
JATILUHUR,132834,321403,3,JAWA BARAT,32,PURWAKARTA,3214
KIARAPEDES,133009,321417,3,JAWA BARAT,32,PURWAKARTA,3214
MANIIS,128341,321407,3,JAWA BARAT,32,PURWAKARTA,3214
PASAWAHAN,132931,321410,3,JAWA BARAT,32,PURWAKARTA,3214
PLERED,132845,321404,3,JAWA BARAT,32,PURWAKARTA,3214
PONDOKSALAM,132997,321416,3,JAWA BARAT,32,PURWAKARTA,3214
PURWAKARTA,132812,321401,3,JAWA BARAT,32,PURWAKARTA,3214
SUKASARI,132991,321415,3,JAWA BARAT,32,PURWAKARTA,3214
SUKATANI,132862,321405,3,JAWA BARAT,32,PURWAKARTA,3214
TEGALWARU,132901,321408,3,JAWA BARAT,32,PURWAKARTA,3214
WANAYASA,132915,321409,3,JAWA BARAT,32,PURWAKARTA,3214
