nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
BANYUSARI,133286,321524,3,JAWA BARAT,32,KARAWANG,3215
BATUJAYA,133093,321508,3,JAWA BARAT,32,KARAWANG,3215
CIAMPEL,133048,321504,3,JAWA BARAT,32,KARAWANG,3215
CIBUAYA,133129,321511,3,JAWA BARAT,32,KARAWANG,3215
CIKAMPEK,133150,321513,3,JAWA BARAT,32,KARAWANG,3215
CILAMAYA KULON,133273,321523,3,JAWA BARAT,32,KARAWANG,3215
CILAMAYA WETAN,133176,321515,3,JAWA BARAT,32,KARAWANG,3215
CILEBAR,133348,321530,3,JAWA BARAT,32,KARAWANG,3215
JATISARI,133161,321514,3,JAWA BARAT,32,KARAWANG,3215
JAYAKERTA,133264,321522,3,JAWA BARAT,32,KARAWANG,3215
KARAWANG BARAT,133020,321501,3,JAWA BARAT,32,KARAWANG,3215
KARAWANG TIMUR,133309,321526,3,JAWA BARAT,32,KARAWANG,3215
KLARI,133056,321505,3,JAWA BARAT,32,KARAWANG,3215
KOTA BARU,133299,321525,3,JAWA BARAT,32,KARAWANG,3215
KUTAWALUYA,133080,321507,3,JAWA BARAT,32,KARAWANG,3215
LEMAHABANG,133229,321519,3,JAWA BARAT,32,KARAWANG,3215
MAJALAYA,133256,321521,3,JAWA BARAT,32,KARAWANG,3215
PAKISJAYA,133141,321512,3,JAWA BARAT,32,KARAWANG,3215
PANGKALAN,133029,321502,3,JAWA BARAT,32,KARAWANG,3215
PEDES,133116,321510,3,JAWA BARAT,32,KARAWANG,3215
PURWASARI,133339,321529,3,JAWA BARAT,32,KARAWANG,3215
RAWAMERTA,133215,321518,3,JAWA BARAT,32,KARAWANG,3215
RENGASDENGKLOK,133070,321506,3,JAWA BARAT,32,KARAWANG,3215
TEGALWARU,133329,321528,3,JAWA BARAT,32,KARAWANG,3215
TELAGASARI,133200,321517,3,JAWA BARAT,32,KARAWANG,3215
TELUKJAMBE BARAT,133318,321527,3,JAWA BARAT,32,KARAWANG,3215
TELUKJAMBE TIMUR,133038,321503,3,JAWA BARAT,32,KARAWANG,3215
TEMPURAN,133241,321520,3,JAWA BARAT,32,KARAWANG,3215
TIRTAJAYA,133104,321509,3,JAWA BARAT,32,KARAWANG,3215
TIRTAMULYA,133189,321516,3,JAWA BARAT,32,KARAWANG,3215
