nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
BANTARGADUNG,128363,320204,3,JAWA BARAT,32,SUKABUMI,3202
BOJONGGENTENG,128471,320214,3,JAWA BARAT,32,SUKABUMI,3202
CARINGIN,128629,320231,3,JAWA BARAT,32,SUKABUMI,3202
CIAMBAR,128760,320247,3,JAWA BARAT,32,SUKABUMI,3202
CIBADAK,128440,320211,3,JAWA BARAT,32,SUKABUMI,3202
CIBITUNG,128572,320225,3,JAWA BARAT,32,SUKABUMI,3202
CICANTAYAN,128596,320228,3,JAWA BARAT,32,SUKABUMI,3202
CICURUG,128484,320216,3,JAWA BARAT,32,SUKABUMI,3202
CIDADAP,128737,320244,3,JAWA BARAT,32,SUKABUMI,3202
CIDAHU,128498,320217,3,JAWA BARAT,32,SUKABUMI,3202
CIDOLOG,128731,320243,3,JAWA BARAT,32,SUKABUMI,3202
CIEMAS,128541,320222,3,JAWA BARAT,32,SUKABUMI,3202
CIKAKAK,128353,320203,3,JAWA BARAT,32,SUKABUMI,3202
CIKEMBAR,128429,320210,3,JAWA BARAT,32,SUKABUMI,3202
CIKIDANG,128385,320206,3,JAWA BARAT,32,SUKABUMI,3202
CIMANGGU,128753,320246,3,JAWA BARAT,32,SUKABUMI,3202
CIRACAP,128579,320226,3,JAWA BARAT,32,SUKABUMI,3202
CIREUNGHAS,128662,320235,3,JAWA BARAT,32,SUKABUMI,3202
CISAAT,128605,320229,3,JAWA BARAT,32,SUKABUMI,3202
CISOLOK,128371,320205,3,JAWA BARAT,32,SUKABUMI,3202
CURUGKEMBAR,128723,320242,3,JAWA BARAT,32,SUKABUMI,3202
GEGERBITUNG,128702,320240,3,JAWA BARAT,32,SUKABUMI,3202
GUNUNGGURUH,128588,320227,3,JAWA BARAT,32,SUKABUMI,3202
JAMPANGKULON,128529,320221,3,JAWA BARAT,32,SUKABUMI,3202
JAMPANGTENGAH,128404,320208,3,JAWA BARAT,32,SUKABUMI,3202
KABANDUNGAN,128515,320219,3,JAWA BARAT,32,SUKABUMI,3202
KADUDAMPIT,128619,320230,3,JAWA BARAT,32,SUKABUMI,3202
KALAPANUNGGAL,128507,320218,3,JAWA BARAT,32,SUKABUMI,3202
KALIBUNDER,128551,320223,3,JAWA BARAT,32,SUKABUMI,3202
KEBONPEDES,128656,320234,3,JAWA BARAT,32,SUKABUMI,3202
LENGKONG,128398,320207,3,JAWA BARAT,32,SUKABUMI,3202
NAGRAK,128451,320212,3,JAWA BARAT,32,SUKABUMI,3202
NYALINDUNG,128691,320239,3,JAWA BARAT,32,SUKABUMI,3202
PABUARAN,128675,320237,3,JAWA BARAT,32,SUKABUMI,3202
PALABUHANRATU,128333,320201,3,JAWA BARAT,32,SUKABUMI,3202
PARAKANSALAK,128477,320215,3,JAWA BARAT,32,SUKABUMI,3202
PARUNGKUDA,128462,320213,3,JAWA BARAT,32,SUKABUMI,3202
PURABAYA,128683,320238,3,JAWA BARAT,32,SUKABUMI,3202
SAGARANTEN,128710,320241,3,JAWA BARAT,32,SUKABUMI,3202
SIMPENAN,128345,320202,3,JAWA BARAT,32,SUKABUMI,3202
SUKABUMI,128639,320232,3,JAWA BARAT,32,SUKABUMI,3202
SUKALARANG,128668,320236,3,JAWA BARAT,32,SUKABUMI,3202
SUKARAJA,128646,320233,3,JAWA BARAT,32,SUKABUMI,3202
SURADE,128559,320224,3,JAWA BARAT,32,SUKABUMI,3202
TEGALBULEUD,128744,320245,3,JAWA BARAT,32,SUKABUMI,3202
WALURAN,128522,320220,3,JAWA BARAT,32,SUKABUMI,3202
WARUNGKIARA,128416,320209,3,JAWA BARAT,32,SUKABUMI,3202
