nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota
BABELAN,133368,321602,3,JAWA BARAT,32,BEKASI,3216
BOJONGMANGU,133562,321623,3,JAWA BARAT,32,BEKASI,3216
CABANGBUNGIN,133501,321616,3,JAWA BARAT,32,BEKASI,3216
CIBARUSAH,133554,321622,3,JAWA BARAT,32,BEKASI,3216
CIBITUNG,133413,321607,3,JAWA BARAT,32,BEKASI,3216
CIKARANG BARAT,133421,321608,3,JAWA BARAT,32,BEKASI,3216
CIKARANG PUSAT,133538,321620,3,JAWA BARAT,32,BEKASI,3216
CIKARANG SELATAN,133530,321619,3,JAWA BARAT,32,BEKASI,3216
CIKARANG TIMUR,133454,321611,3,JAWA BARAT,32,BEKASI,3216
CIKARANG UTARA,133433,321609,3,JAWA BARAT,32,BEKASI,3216
KARANG BAHAGIA,133445,321610,3,JAWA BARAT,32,BEKASI,3216
KEDUNG WARINGIN,133463,321612,3,JAWA BARAT,32,BEKASI,3216
MUARAGEMBONG,133510,321617,3,JAWA BARAT,32,BEKASI,3216
PEBAYURAN,133471,321613,3,JAWA BARAT,32,BEKASI,3216
SERANG BARU,133545,321621,3,JAWA BARAT,32,BEKASI,3216
SETU,133518,321618,3,JAWA BARAT,32,BEKASI,3216
SUKAKARYA,133485,321614,3,JAWA BARAT,32,BEKASI,3216
SUKATANI,133493,321615,3,JAWA BARAT,32,BEKASI,3216
SUKAWANGI,133378,321603,3,JAWA BARAT,32,BEKASI,3216
TAMBELANG,133386,321604,3,JAWA BARAT,32,BEKASI,3216
TAMBUN SELATAN,128798,321606,3,JAWA BARAT,32,BEKASI,3216
TAMBUN UTARA,133394,321605,3,JAWA BARAT,32,BEKASI,3216
TARUMAJAYA,133359,321601,3,JAWA BARAT,32,BEKASI,3216
