nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,39592001,3279021001001,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 002,39592002,3279021001002,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 003,39592003,3279021001003,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 004,39592004,3279021001004,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 005,39592005,3279021001005,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 006,39592006,3279021001006,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 007,39592007,3279021001007,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 008,39592008,3279021001008,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 009,39592009,3279021001009,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 010,39592010,3279021001010,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 011,39592011,3279021001011,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 012,39592012,3279021001012,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 013,39592013,3279021001013,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 014,39592014,3279021001014,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 015,39592015,3279021001015,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 016,39592016,3279021001016,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 017,39592017,3279021001017,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 018,39592018,3279021001018,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 019,39592019,3279021001019,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 020,39592020,3279021001020,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 021,39592021,3279021001021,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 022,39592022,3279021001022,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 023,39592023,3279021001023,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 024,39592024,3279021001024,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 025,39592025,3279021001025,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 026,39592026,3279021001026,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 027,39592027,3279021001027,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 028,39592028,3279021001028,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 029,39592029,3279021001029,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 030,39592030,3279021001030,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 031,39592031,3279021001031,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 032,39592032,3279021001032,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 033,39592033,3279021001033,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 034,39592034,3279021001034,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 035,39592035,3279021001035,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 036,39592036,3279021001036,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 037,39592037,3279021001037,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 038,39592038,3279021001038,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 039,39592039,3279021001039,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 040,39592040,3279021001040,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 041,39592041,3279021001041,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 042,39592042,3279021001042,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 043,39592043,3279021001043,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
TPS 044,39592044,3279021001044,5,JAWA BARAT,32,KOTA BANJAR,3279,PATARUMAN,327902,HEGARSARI,3279021001
