nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,33758001,3201102001001,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 002,33758002,3201102001002,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 003,33758003,3201102001003,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 004,33758004,3201102001004,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 005,33758005,3201102001005,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 006,33758006,3201102001006,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 007,33758007,3201102001007,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 008,33758008,3201102001008,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 009,33758009,3201102001009,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 010,33758010,3201102001010,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 011,33758011,3201102001011,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 012,33758012,3201102001012,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 013,33758013,3201102001013,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 014,33758014,3201102001014,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 015,33758015,3201102001015,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 016,33758016,3201102001016,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 017,33758017,3201102001017,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 018,33758018,3201102001018,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 019,33758019,3201102001019,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 020,33758020,3201102001020,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 021,33758021,3201102001021,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 022,33758022,3201102001022,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 023,33758023,3201102001023,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 024,33758024,3201102001024,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 025,33758025,3201102001025,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 026,33758026,3201102001026,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 027,33758027,3201102001027,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 028,33758028,3201102001028,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 029,33758029,3201102001029,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 030,33758030,3201102001030,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 031,33758031,3201102001031,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 032,33758032,3201102001032,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
TPS 033,33758033,3201102001033,5,JAWA BARAT,32,BOGOR,3201,PARUNG,320110,PARUNG,3201102001
