nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,35245001,3205112001001,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 002,35245002,3205112001002,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 003,35245003,3205112001003,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 004,35245004,3205112001004,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 005,35245005,3205112001005,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 006,35245006,3205112001006,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 007,35245007,3205112001007,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 008,35245008,3205112001008,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 009,35245009,3205112001009,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 010,35245010,3205112001010,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 011,35245011,3205112001011,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 012,35245012,3205112001012,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 013,35245013,3205112001013,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 014,35245014,3205112001014,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 015,35245015,3205112001015,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 016,35245016,3205112001016,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 017,35245017,3205112001017,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 018,35245018,3205112001018,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 019,35245019,3205112001019,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 020,35245020,3205112001020,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 021,35245021,3205112001021,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 022,35245022,3205112001022,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 023,35245023,3205112001023,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 024,35245024,3205112001024,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 025,35245025,3205112001025,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 026,35245026,3205112001026,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 027,35245027,3205112001027,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 028,35245028,3205112001028,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 029,35245029,3205112001029,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 030,35245030,3205112001030,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
TPS 031,35245031,3205112001031,5,JAWA BARAT,32,GARUT,3205,LEUWIGOONG,320511,LEUWIGOONG,3205112001
