nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,37902001,3212312002001,5,JAWA BARAT,32,INDRAMAYU,3212,PATROL,321231,MEKARSARI,3212312002
TPS 002,37902002,3212312002002,5,JAWA BARAT,32,INDRAMAYU,3212,PATROL,321231,MEKARSARI,3212312002
TPS 003,37902003,3212312002003,5,JAWA BARAT,32,INDRAMAYU,3212,PATROL,321231,MEKARSARI,3212312002
TPS 004,37902004,3212312002004,5,JAWA BARAT,32,INDRAMAYU,3212,PATROL,321231,MEKARSARI,3212312002
TPS 005,37902005,3212312002005,5,JAWA BARAT,32,INDRAMAYU,3212,PATROL,321231,MEKARSARI,3212312002
TPS 006,37902006,3212312002006,5,JAWA BARAT,32,INDRAMAYU,3212,PATROL,321231,MEKARSARI,3212312002
TPS 007,37902007,3212312002007,5,JAWA BARAT,32,INDRAMAYU,3212,PATROL,321231,MEKARSARI,3212312002
TPS 008,37902008,3212312002008,5,JAWA BARAT,32,INDRAMAYU,3212,PATROL,321231,MEKARSARI,3212312002
TPS 009,37902009,3212312002009,5,JAWA BARAT,32,INDRAMAYU,3212,PATROL,321231,MEKARSARI,3212312002
TPS 010,37902010,3212312002010,5,JAWA BARAT,32,INDRAMAYU,3212,PATROL,321231,MEKARSARI,3212312002
TPS 011,37902011,3212312002011,5,JAWA BARAT,32,INDRAMAYU,3212,PATROL,321231,MEKARSARI,3212312002
TPS 012,37902012,3212312002012,5,JAWA BARAT,32,INDRAMAYU,3212,PATROL,321231,MEKARSARI,3212312002
