nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,35473001,3205322004001,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,CIJAYANA,3205322004
TPS 002,35473002,3205322004002,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,CIJAYANA,3205322004
TPS 003,35473003,3205322004003,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,CIJAYANA,3205322004
TPS 004,35473004,3205322004004,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,CIJAYANA,3205322004
TPS 005,35473005,3205322004005,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,CIJAYANA,3205322004
TPS 006,35473006,3205322004006,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,CIJAYANA,3205322004
TPS 007,35473007,3205322004007,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,CIJAYANA,3205322004
TPS 008,35473008,3205322004008,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,CIJAYANA,3205322004
TPS 009,35473009,3205322004009,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,CIJAYANA,3205322004
TPS 010,35473010,3205322004010,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,CIJAYANA,3205322004
TPS 011,35473011,3205322004011,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,CIJAYANA,3205322004
