nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,36150001,3207342006001,5,JAWA BARAT,32,CIAMIS,3207,LUMBUNG,320734,DARMARAJA,3207342006
TPS 002,36150002,3207342006002,5,JAWA BARAT,32,CIAMIS,3207,LUMBUNG,320734,DARMARAJA,3207342006
TPS 003,36150003,3207342006003,5,JAWA BARAT,32,CIAMIS,3207,LUMBUNG,320734,DARMARAJA,3207342006
TPS 004,36150004,3207342006004,5,JAWA BARAT,32,CIAMIS,3207,LUMBUNG,320734,DARMARAJA,3207342006
TPS 005,36150005,3207342006005,5,JAWA BARAT,32,CIAMIS,3207,LUMBUNG,320734,DARMARAJA,3207342006
TPS 006,36150006,3207342006006,5,JAWA BARAT,32,CIAMIS,3207,LUMBUNG,320734,DARMARAJA,3207342006
TPS 007,36150007,3207342006007,5,JAWA BARAT,32,CIAMIS,3207,LUMBUNG,320734,DARMARAJA,3207342006
TPS 008,36150008,3207342006008,5,JAWA BARAT,32,CIAMIS,3207,LUMBUNG,320734,DARMARAJA,3207342006
TPS 009,36150009,3207342006009,5,JAWA BARAT,32,CIAMIS,3207,LUMBUNG,320734,DARMARAJA,3207342006
TPS 010,36150010,3207342006010,5,JAWA BARAT,32,CIAMIS,3207,LUMBUNG,320734,DARMARAJA,3207342006
