nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,37869001,3212272002001,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 002,37869002,3212272002002,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 003,37869003,3212272002003,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 004,37869004,3212272002004,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 005,37869005,3212272002005,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 006,37869006,3212272002006,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 007,37869007,3212272002007,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 008,37869008,3212272002008,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 009,37869009,3212272002009,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 010,37869010,3212272002010,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 011,37869011,3212272002011,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 012,37869012,3212272002012,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 013,37869013,3212272002013,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 014,37869014,3212272002014,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 015,37869015,3212272002015,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 016,37869016,3212272002016,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
TPS 017,37869017,3212272002017,5,JAWA BARAT,32,INDRAMAYU,3212,SUKAGUMIWANG,321227,BONDAN,3212272002
