nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,35470001,3205322001001,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,MEKARMUKTI,3205322001
TPS 002,35470002,3205322001002,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,MEKARMUKTI,3205322001
TPS 003,35470003,3205322001003,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,MEKARMUKTI,3205322001
TPS 004,35470004,3205322001004,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,MEKARMUKTI,3205322001
TPS 005,35470005,3205322001005,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,MEKARMUKTI,3205322001
TPS 006,35470006,3205322001006,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,MEKARMUKTI,3205322001
TPS 007,35470007,3205322001007,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,MEKARMUKTI,3205322001
TPS 008,35470008,3205322001008,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,MEKARMUKTI,3205322001
TPS 009,35470009,3205322001009,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,MEKARMUKTI,3205322001
TPS 010,35470010,3205322001010,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,MEKARMUKTI,3205322001
TPS 011,35470011,3205322001011,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,MEKARMUKTI,3205322001
TPS 012,35470012,3205322001012,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,MEKARMUKTI,3205322001
TPS 013,35470013,3205322001013,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,MEKARMUKTI,3205322001
TPS 014,35470014,3205322001014,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,MEKARMUKTI,3205322001
TPS 015,35470015,3205322001015,5,JAWA BARAT,32,GARUT,3205,MEKARMUKTI,320532,MEKARMUKTI,3205322001
