nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,38521001,3215172004001,5,JAWA BARAT,32,KARAWANG,3215,TELAGASARI,321517,CARIUMULYA,3215172004
TPS 002,38521002,3215172004002,5,JAWA BARAT,32,KARAWANG,3215,TELAGASARI,321517,CARIUMULYA,3215172004
TPS 003,38521003,3215172004003,5,JAWA BARAT,32,KARAWANG,3215,TELAGASARI,321517,CARIUMULYA,3215172004
TPS 004,38521004,3215172004004,5,JAWA BARAT,32,KARAWANG,3215,TELAGASARI,321517,CARIUMULYA,3215172004
TPS 005,38521005,3215172004005,5,JAWA BARAT,32,KARAWANG,3215,TELAGASARI,321517,CARIUMULYA,3215172004
TPS 006,38521006,3215172004006,5,JAWA BARAT,32,KARAWANG,3215,TELAGASARI,321517,CARIUMULYA,3215172004
TPS 007,38521007,3215172004007,5,JAWA BARAT,32,KARAWANG,3215,TELAGASARI,321517,CARIUMULYA,3215172004
TPS 008,38521008,3215172004008,5,JAWA BARAT,32,KARAWANG,3215,TELAGASARI,321517,CARIUMULYA,3215172004
TPS 009,38521009,3215172004009,5,JAWA BARAT,32,KARAWANG,3215,TELAGASARI,321517,CARIUMULYA,3215172004
TPS 010,38521010,3215172004010,5,JAWA BARAT,32,KARAWANG,3215,TELAGASARI,321517,CARIUMULYA,3215172004
TPS 011,38521011,3215172004011,5,JAWA BARAT,32,KARAWANG,3215,TELAGASARI,321517,CARIUMULYA,3215172004
TPS 012,38521012,3215172004012,5,JAWA BARAT,32,KARAWANG,3215,TELAGASARI,321517,CARIUMULYA,3215172004
TPS 013,38521013,3215172004013,5,JAWA BARAT,32,KARAWANG,3215,TELAGASARI,321517,CARIUMULYA,3215172004
TPS 014,38521014,3215172004014,5,JAWA BARAT,32,KARAWANG,3215,TELAGASARI,321517,CARIUMULYA,3215172004
