nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,34122001,3202052002001,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 002,34122002,3202052002002,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 003,34122003,3202052002003,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 004,34122004,3202052002004,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 005,34122005,3202052002005,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 006,34122006,3202052002006,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 007,34122007,3202052002007,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 008,34122008,3202052002008,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 009,34122009,3202052002009,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 010,34122010,3202052002010,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 011,34122011,3202052002011,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 012,34122012,3202052002012,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 013,34122013,3202052002013,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 014,34122014,3202052002014,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 015,34122015,3202052002015,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 016,34122016,3202052002016,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 017,34122017,3202052002017,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 018,34122018,3202052002018,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 019,34122019,3202052002019,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 020,34122020,3202052002020,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 021,34122021,3202052002021,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
TPS 022,34122022,3202052002022,5,JAWA BARAT,32,SUKABUMI,3202,CISOLOK,320205,PASIRBARU,3202052002
