nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,35671001,3206122011001,5,JAWA BARAT,32,TASIKMALAYA,3206,SODONGHILIR,320612,PAKALONGAN,3206122011
TPS 002,35671002,3206122011002,5,JAWA BARAT,32,TASIKMALAYA,3206,SODONGHILIR,320612,PAKALONGAN,3206122011
TPS 003,35671003,3206122011003,5,JAWA BARAT,32,TASIKMALAYA,3206,SODONGHILIR,320612,PAKALONGAN,3206122011
TPS 004,35671004,3206122011004,5,JAWA BARAT,32,TASIKMALAYA,3206,SODONGHILIR,320612,PAKALONGAN,3206122011
TPS 005,35671005,3206122011005,5,JAWA BARAT,32,TASIKMALAYA,3206,SODONGHILIR,320612,PAKALONGAN,3206122011
TPS 006,35671006,3206122011006,5,JAWA BARAT,32,TASIKMALAYA,3206,SODONGHILIR,320612,PAKALONGAN,3206122011
TPS 007,35671007,3206122011007,5,JAWA BARAT,32,TASIKMALAYA,3206,SODONGHILIR,320612,PAKALONGAN,3206122011
TPS 008,35671008,3206122011008,5,JAWA BARAT,32,TASIKMALAYA,3206,SODONGHILIR,320612,PAKALONGAN,3206122011
TPS 009,35671009,3206122011009,5,JAWA BARAT,32,TASIKMALAYA,3206,SODONGHILIR,320612,PAKALONGAN,3206122011
TPS 010,35671010,3206122011010,5,JAWA BARAT,32,TASIKMALAYA,3206,SODONGHILIR,320612,PAKALONGAN,3206122011
TPS 011,35671011,3206122011011,5,JAWA BARAT,32,TASIKMALAYA,3206,SODONGHILIR,320612,PAKALONGAN,3206122011
TPS 012,35671012,3206122011012,5,JAWA BARAT,32,TASIKMALAYA,3206,SODONGHILIR,320612,PAKALONGAN,3206122011
