nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,36800001,3209232002001,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 002,36800002,3209232002002,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 003,36800003,3209232002003,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 004,36800004,3209232002004,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 005,36800005,3209232002005,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 006,36800006,3209232002006,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 007,36800007,3209232002007,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 008,36800008,3209232002008,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 009,36800009,3209232002009,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 010,36800010,3209232002010,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 011,36800011,3209232002011,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 012,36800012,3209232002012,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 013,36800013,3209232002013,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 014,36800014,3209232002014,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 015,36800015,3209232002015,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 016,36800016,3209232002016,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 017,36800017,3209232002017,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 018,36800018,3209232002018,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 019,36800019,3209232002019,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
TPS 020,36800020,3209232002020,5,JAWA BARAT,32,CIREBON,3209,KLANGENAN,320923,KLANGENAN,3209232002
