nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,38721001,3216082002001,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 002,38721002,3216082002002,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 003,38721003,3216082002003,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 004,38721004,3216082002004,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 005,38721005,3216082002005,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 006,38721006,3216082002006,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 007,38721007,3216082002007,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 008,38721008,3216082002008,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 009,38721009,3216082002009,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 010,38721010,3216082002010,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 011,38721011,3216082002011,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 012,38721012,3216082002012,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 013,38721013,3216082002013,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 014,38721014,3216082002014,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 015,38721015,3216082002015,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 016,38721016,3216082002016,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 017,38721017,3216082002017,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 018,38721018,3216082002018,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 019,38721019,3216082002019,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 020,38721020,3216082002020,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 021,38721021,3216082002021,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 022,38721022,3216082002022,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 023,38721023,3216082002023,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 024,38721024,3216082002024,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 025,38721025,3216082002025,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 026,38721026,3216082002026,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 027,38721027,3216082002027,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 028,38721028,3216082002028,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 029,38721029,3216082002029,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 030,38721030,3216082002030,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 031,38721031,3216082002031,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 032,38721032,3216082002032,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 033,38721033,3216082002033,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 034,38721034,3216082002034,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
TPS 035,38721035,3216082002035,5,JAWA BARAT,32,BEKASI,3216,CIKARANG BARAT,321608,MEKARWANGI,3216082002
