nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,36810001,3209242003001,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 002,36810002,3209242003002,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 003,36810003,3209242003003,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 004,36810004,3209242003004,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 005,36810005,3209242003005,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 006,36810006,3209242003006,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 007,36810007,3209242003007,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 008,36810008,3209242003008,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 009,36810009,3209242003009,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 010,36810010,3209242003010,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 011,36810011,3209242003011,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 012,36810012,3209242003012,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 013,36810013,3209242003013,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 014,36810014,3209242003014,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 015,36810015,3209242003015,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 016,36810016,3209242003016,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 017,36810017,3209242003017,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 018,36810018,3209242003018,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 019,36810019,3209242003019,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 020,36810020,3209242003020,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 021,36810021,3209242003021,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 022,36810022,3209242003022,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 023,36810023,3209242003023,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 024,36810024,3209242003024,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 025,36810025,3209242003025,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 026,36810026,3209242003026,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 027,36810027,3209242003027,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 028,36810028,3209242003028,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 029,36810029,3209242003029,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 030,36810030,3209242003030,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 031,36810031,3209242003031,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 032,36810032,3209242003032,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
TPS 033,36810033,3209242003033,5,JAWA BARAT,32,CIREBON,3209,ARJAWINANGUN,320924,JUNGJANG,3209242003
