nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,33790001,3201132004001,5,JAWA BARAT,32,BOGOR,3201,BOJONG GEDE,320113,RAGAJAYA,3201132004
TPS 002,33790002,3201132004002,5,JAWA BARAT,32,BOGOR,3201,BOJONG GEDE,320113,RAGAJAYA,3201132004
TPS 003,33790003,3201132004003,5,JAWA BARAT,32,BOGOR,3201,BOJONG GEDE,320113,RAGAJAYA,3201132004
TPS 004,33790004,3201132004004,5,JAWA BARAT,32,BOGOR,3201,BOJONG GEDE,320113,RAGAJAYA,3201132004
TPS 005,33790005,3201132004005,5,JAWA BARAT,32,BOGOR,3201,BOJONG GEDE,320113,RAGAJAYA,3201132004
TPS 006,33790006,3201132004006,5,JAWA BARAT,32,BOGOR,3201,BOJONG GEDE,320113,RAGAJAYA,3201132004
TPS 007,33790007,3201132004007,5,JAWA BARAT,32,BOGOR,3201,BOJONG GEDE,320113,RAGAJAYA,3201132004
TPS 008,33790008,3201132004008,5,JAWA BARAT,32,BOGOR,3201,BOJONG GEDE,320113,RAGAJAYA,3201132004
TPS 009,33790009,3201132004009,5,JAWA BARAT,32,BOGOR,3201,BOJONG GEDE,320113,RAGAJAYA,3201132004
TPS 010,33790010,3201132004010,5,JAWA BARAT,32,BOGOR,3201,BOJONG GEDE,320113,RAGAJAYA,3201132004
TPS 011,33790011,3201132004011,5,JAWA BARAT,32,BOGOR,3201,BOJONG GEDE,320113,RAGAJAYA,3201132004
TPS 012,33790012,3201132004012,5,JAWA BARAT,32,BOGOR,3201,BOJONG GEDE,320113,RAGAJAYA,3201132004
TPS 013,33790013,3201132004013,5,JAWA BARAT,32,BOGOR,3201,BOJONG GEDE,320113,RAGAJAYA,3201132004
TPS 014,33790014,3201132004014,5,JAWA BARAT,32,BOGOR,3201,BOJONG GEDE,320113,RAGAJAYA,3201132004
TPS 015,33790015,3201132004015,5,JAWA BARAT,32,BOGOR,3201,BOJONG GEDE,320113,RAGAJAYA,3201132004
