nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,35675001,3206132003001,5,JAWA BARAT,32,TASIKMALAYA,3206,TARAJU,320613,DEUDEUL,3206132003
TPS 002,35675002,3206132003002,5,JAWA BARAT,32,TASIKMALAYA,3206,TARAJU,320613,DEUDEUL,3206132003
TPS 003,35675003,3206132003003,5,JAWA BARAT,32,TASIKMALAYA,3206,TARAJU,320613,DEUDEUL,3206132003
TPS 004,35675004,3206132003004,5,JAWA BARAT,32,TASIKMALAYA,3206,TARAJU,320613,DEUDEUL,3206132003
TPS 005,35675005,3206132003005,5,JAWA BARAT,32,TASIKMALAYA,3206,TARAJU,320613,DEUDEUL,3206132003
TPS 006,35675006,3206132003006,5,JAWA BARAT,32,TASIKMALAYA,3206,TARAJU,320613,DEUDEUL,3206132003
TPS 007,35675007,3206132003007,5,JAWA BARAT,32,TASIKMALAYA,3206,TARAJU,320613,DEUDEUL,3206132003
TPS 008,35675008,3206132003008,5,JAWA BARAT,32,TASIKMALAYA,3206,TARAJU,320613,DEUDEUL,3206132003
TPS 009,35675009,3206132003009,5,JAWA BARAT,32,TASIKMALAYA,3206,TARAJU,320613,DEUDEUL,3206132003
TPS 010,35675010,3206132003010,5,JAWA BARAT,32,TASIKMALAYA,3206,TARAJU,320613,DEUDEUL,3206132003
TPS 011,35675011,3206132003011,5,JAWA BARAT,32,TASIKMALAYA,3206,TARAJU,320613,DEUDEUL,3206132003
TPS 012,35675012,3206132003012,5,JAWA BARAT,32,TASIKMALAYA,3206,TARAJU,320613,DEUDEUL,3206132003
TPS 013,35675013,3206132003013,5,JAWA BARAT,32,TASIKMALAYA,3206,TARAJU,320613,DEUDEUL,3206132003
