nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,36085001,3207182010001,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 002,36085002,3207182010002,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 003,36085003,3207182010003,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 004,36085004,3207182010004,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 005,36085005,3207182010005,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 006,36085006,3207182010006,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 007,36085007,3207182010007,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 008,36085008,3207182010008,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 009,36085009,3207182010009,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 010,36085010,3207182010010,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 011,36085011,3207182010011,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 012,36085012,3207182010012,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 013,36085013,3207182010013,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 014,36085014,3207182010014,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 015,36085015,3207182010015,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 016,36085016,3207182010016,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 017,36085017,3207182010017,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 018,36085018,3207182010018,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 019,36085019,3207182010019,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
TPS 020,36085020,3207182010020,5,JAWA BARAT,32,CIAMIS,3207,BANJARSARI,320718,SINDANGASIH,3207182010
