nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,37848001,3212242005001,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 002,37848002,3212242005002,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 003,37848003,3212242005003,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 004,37848004,3212242005004,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 005,37848005,3212242005005,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 006,37848006,3212242005006,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 007,37848007,3212242005007,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 008,37848008,3212242005008,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 009,37848009,3212242005009,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 010,37848010,3212242005010,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 011,37848011,3212242005011,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 012,37848012,3212242005012,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 013,37848013,3212242005013,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 014,37848014,3212242005014,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 015,37848015,3212242005015,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 016,37848016,3212242005016,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 017,37848017,3212242005017,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 018,37848018,3212242005018,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 019,37848019,3212242005019,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 020,37848020,3212242005020,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 021,37848021,3212242005021,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 022,37848022,3212242005022,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
TPS 023,37848023,3212242005023,5,JAWA BARAT,32,INDRAMAYU,3212,SUKRA,321224,SUKRA WETAN,3212242005
