nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,36399001,3208172019001,5,JAWA BARAT,32,KUNINGAN,3208,DARMA,320817,SITUSARI,3208172019
TPS 002,36399002,3208172019002,5,JAWA BARAT,32,KUNINGAN,3208,DARMA,320817,SITUSARI,3208172019
TPS 003,36399003,3208172019003,5,JAWA BARAT,32,KUNINGAN,3208,DARMA,320817,SITUSARI,3208172019
TPS 004,36399004,3208172019004,5,JAWA BARAT,32,KUNINGAN,3208,DARMA,320817,SITUSARI,3208172019
TPS 005,36399005,3208172019005,5,JAWA BARAT,32,KUNINGAN,3208,DARMA,320817,SITUSARI,3208172019
