nama,id,kode,tingkat,provinsi,kode_provinsi,kab_kota,kode_kab_kota,kecamatan,kode_kecamatan,desa,kode_desa
TPS 001,34176001,3202102003001,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 002,34176002,3202102003002,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 003,34176003,3202102003003,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 004,34176004,3202102003004,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 005,34176005,3202102003005,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 006,34176006,3202102003006,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 007,34176007,3202102003007,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 008,34176008,3202102003008,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 009,34176009,3202102003009,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 010,34176010,3202102003010,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 011,34176011,3202102003011,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 012,34176012,3202102003012,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 013,34176013,3202102003013,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 014,34176014,3202102003014,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 015,34176015,3202102003015,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 016,34176016,3202102003016,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 017,34176017,3202102003017,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 018,34176018,3202102003018,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 019,34176019,3202102003019,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 020,34176020,3202102003020,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 021,34176021,3202102003021,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
TPS 022,34176022,3202102003022,5,JAWA BARAT,32,SUKABUMI,3202,CIKEMBAR,320210,BOJONG,3202102003
